phase,x_bin,x_m,policy,reached_candidates,successful_candidates,reached_root_cells,root_cells,full_cells,root_z_m_min,root_z_m_max,root_vx_mps_min,root_vx_mps_max,root_vz_mps_min,root_vz_mps_max,pitch_deg_min,pitch_deg_max
upstream,56,2.8000000000000003,pi_0,16,16,11,11,11,0.11736676096916199,0.11890667676925659,0.7574135661125183,1.7773776054382324,-0.09759438037872314,0.16015735268592834,-0.3387063310998289,0.1735582702331837
upstream,56,2.8000000000000003,pi_1,16,16,11,11,11,0.11736676096916199,0.11890667676925659,0.7574135661125183,1.7773776054382324,-0.09759438037872314,0.16015735268592834,-0.3387063310998289,0.1735582702331837
upstream,56,2.8000000000000003,pi_2,16,14,11,9,9,0.11736676096916199,0.11793842166662216,0.7574135661125183,1.0937178134918213,0.04399006813764572,0.16015735268592834,-0.3387063310998289,-0.07851710329451146
upstream,56,2.8000000000000003,pi_3,16,14,11,9,9,0.11736676096916199,0.11890667676925659,0.7574135661125183,1.7773776054382324,-0.09759438037872314,0.16015735268592834,-0.3387063310998289,0.1735582702331837
upstream,56,2.8000000000000003,pi_4,16,16,11,11,11,0.11736676096916199,0.11890667676925659,0.7574135661125183,1.7773776054382324,-0.09759438037872314,0.16015735268592834,-0.3387063310998289,0.1735582702331837
upstream,56,2.8000000000000003,pi_5,16,16,11,11,11,0.11736676096916199,0.11890667676925659,0.7574135661125183,1.7773776054382324,-0.09759438037872314,0.16015735268592834,-0.3387063310998289,0.1735582702331837
upstream,56,2.8000000000000003,pi_6,16,16,11,11,11,0.11736676096916199,0.11890667676925659,0.7574135661125183,1.7773776054382324,-0.09759438037872314,0.16015735268592834,-0.3387063310998289,0.1735582702331837
upstream,56,2.8000000000000003,union,16,16,11,11,11,0.11736676096916199,0.11890667676925659,0.7574135661125183,1.7773776054382324,-0.09759438037872314,0.16015735268592834,-0.3387063310998289,0.1735582702331837
upstream,57,2.85,pi_0,15,15,15,15,15,0.11887048184871674,0.16586866974830627,0.5154148936271667,1.7587045431137085,-0.009769576601684093,1.6485586166381836,0.11689307952066638,17.68031774269754
upstream,57,2.85,pi_1,15,15,15,15,15,0.11887048184871674,0.16586866974830627,0.5154148936271667,1.7587045431137085,-0.009769576601684093,1.6485586166381836,0.11689307952066638,17.68031774269754
upstream,57,2.85,pi_2,15,15,15,15,15,0.11887048184871674,0.16586866974830627,0.5154148936271667,1.7587045431137085,-0.009769576601684093,1.6485586166381836,0.11689307952066638,17.68031774269754
upstream,57,2.85,pi_3,15,15,15,15,15,0.11887048184871674,0.16586866974830627,0.5154148936271667,1.7587045431137085,-0.009769576601684093,1.6485586166381836,0.11689307952066638,17.68031774269754
upstream,57,2.85,pi_4,15,15,15,15,15,0.11887048184871674,0.16586866974830627,0.5154148936271667,1.7587045431137085,-0.009769576601684093,1.6485586166381836,0.11689307952066638,17.68031774269754
upstream,57,2.85,pi_5,15,13,15,13,13,0.11887557059526443,0.16586866974830627,0.5154148936271667,1.7587045431137085,-0.009769576601684093,1.6485586166381836,0.11689307952066638,17.68031774269754
upstream,57,2.85,pi_6,15,15,15,15,15,0.11887048184871674,0.16586866974830627,0.5154148936271667,1.7587045431137085,-0.009769576601684093,1.6485586166381836,0.11689307952066638,17.68031774269754
upstream,57,2.85,union,15,15,15,15,15,0.11887048184871674,0.16586866974830627,0.5154148936271667,1.7587045431137085,-0.009769576601684093,1.6485586166381836,0.11689307952066638,17.68031774269754
upstream,58,2.9000000000000004,pi_0,30,28,27,25,25,0.12009627372026443,0.2789754867553711,1.0100057125091553,1.888511300086975,0.17534825205802917,3.1806817054748535,0.5463764692423472,41.75337825566673
upstream,58,2.9000000000000004,pi_1,30,28,27,25,25,0.12009627372026443,0.2789754867553711,1.1045156717300415,1.888511300086975,0.17534825205802917,3.1806817054748535,0.5463764692423472,41.75337825566673
upstream,58,2.9000000000000004,pi_2,30,28,27,25,25,0.12009627372026443,0.2789754867553711,1.1045156717300415,1.888511300086975,0.17534825205802917,3.1806817054748535,0.5463764692423472,41.75337825566673
upstream,58,2.9000000000000004,pi_3,30,26,27,23,23,0.12009627372026443,0.2629956901073456,1.1045156717300415,1.8425265550613403,0.17534825205802917,3.1806817054748535,0.5463764692423472,41.75337825566673
upstream,58,2.9000000000000004,pi_4,30,28,27,25,25,0.12009627372026443,0.2789754867553711,1.1045156717300415,1.888511300086975,0.17534825205802917,3.1806817054748535,0.5463764692423472,41.75337825566673
upstream,58,2.9000000000000004,pi_5,30,28,27,25,25,0.12009627372026443,0.2789754867553711,1.1045156717300415,1.888511300086975,0.17534825205802917,3.1806817054748535,0.5463764692423472,41.75337825566673
upstream,58,2.9000000000000004,pi_6,30,28,27,25,25,0.12009627372026443,0.2789754867553711,1.1045156717300415,1.888511300086975,0.17534825205802917,3.1806817054748535,0.5463764692423472,41.75337825566673
upstream,58,2.9000000000000004,union,30,30,27,27,27,0.12009627372026443,0.2789754867553711,1.0100057125091553,1.888511300086975,0.17534825205802917,3.1806817054748535,0.5463764692423472,41.75337825566673
upstream,59,2.95,pi_0,29,27,29,27,27,0.2366963028907776,0.3415699005126953,1.9200876951217651,2.4407525062561035,2.3511693477630615,3.4221465587615967,23.03507868443182,41.502304890101854
upstream,59,2.95,pi_1,29,28,29,28,28,0.11979101598262787,0.3415699005126953,1.4979020357131958,2.4407525062561035,0.2858313024044037,3.4221465587615967,0.3817702168813145,41.502304890101854
upstream,59,2.95,pi_2,29,28,29,28,28,0.11979101598262787,0.3415699005126953,1.4979020357131958,2.4407525062561035,0.2858313024044037,3.4221465587615967,0.3817702168813145,41.502304890101854
upstream,59,2.95,pi_3,29,26,29,26,26,0.11979101598262787,0.3415699005126953,1.4979020357131958,2.4407525062561035,0.2858313024044037,3.4221465587615967,0.3817702168813145,41.502304890101854
upstream,59,2.95,pi_4,29,27,29,27,27,0.2366963028907776,0.3415699005126953,1.9200876951217651,2.4407525062561035,2.3511693477630615,3.4221465587615967,23.03507868443182,41.502304890101854
upstream,59,2.95,pi_5,29,28,29,28,28,0.11979101598262787,0.3415699005126953,1.4979020357131958,2.4407525062561035,0.2858313024044037,3.4221465587615967,0.3817702168813145,41.502304890101854
upstream,59,2.95,pi_6,29,29,29,29,29,0.11979101598262787,0.3415699005126953,1.4979020357131958,2.4407525062561035,0.2858313024044037,3.4221465587615967,0.3817702168813145,41.502304890101854
upstream,59,2.95,union,29,29,29,29,29,0.11979101598262787,0.3415699005126953,1.4979020357131958,2.4407525062561035,0.2858313024044037,3.4221465587615967,0.3817702168813145,41.502304890101854
upstream,60,3.0,pi_0,29,28,29,28,28,0.1964598149061203,0.4486615061759949,1.4616436958312988,2.3911943435668945,1.813839316368103,3.372330665588379,15.068498715111344,33.61395897463984
upstream,60,3.0,pi_1,29,28,29,28,28,0.1964598149061203,0.4486615061759949,1.4616436958312988,2.3911943435668945,1.813839316368103,3.372330665588379,15.068498715111344,33.61395897463984
upstream,60,3.0,pi_2,29,27,29,27,27,0.2948043942451477,0.4486615061759949,1.4616436958312988,2.3911943435668945,1.813839316368103,3.372330665588379,15.068498715111344,33.61395897463984
upstream,60,3.0,pi_3,29,28,29,28,28,0.1964598149061203,0.4486615061759949,1.4616436958312988,2.3911943435668945,1.4156469106674194,3.372330665588379,15.068498715111344,33.61395897463984
upstream,60,3.0,pi_4,29,27,29,27,27,0.2948043942451477,0.4486615061759949,1.4616436958312988,2.3911943435668945,1.813839316368103,3.372330665588379,15.068498715111344,33.61395897463984
upstream,60,3.0,pi_5,29,27,29,27,27,0.2948043942451477,0.4486615061759949,1.4616436958312988,2.3911943435668945,1.813839316368103,3.372330665588379,15.068498715111344,33.61395897463984
upstream,60,3.0,pi_6,29,29,29,29,29,0.1964598149061203,0.4486615061759949,1.4616436958312988,2.3911943435668945,1.4156469106674194,3.372330665588379,15.068498715111344,33.61395897463984
upstream,60,3.0,union,29,29,29,29,29,0.1964598149061203,0.4486615061759949,1.4616436958312988,2.3911943435668945,1.4156469106674194,3.372330665588379,15.068498715111344,33.61395897463984
upstream,61,3.0500000000000003,pi_0,29,28,29,28,28,0.2459123283624649,0.4693913161754608,1.201655626296997,2.240093231201172,0.7914256453514099,2.8845629692077637,10.905041515362141,31.02130303740904
upstream,61,3.0500000000000003,pi_1,29,28,29,28,28,0.2459123283624649,0.4693913161754608,1.201655626296997,2.240093231201172,0.7914256453514099,2.8845629692077637,10.905041515362141,31.02130303740904
upstream,61,3.0500000000000003,pi_2,29,28,29,28,28,0.2459123283624649,0.4693913161754608,1.201655626296997,2.240093231201172,0.7914256453514099,2.8845629692077637,10.905041515362141,31.02130303740904
upstream,61,3.0500000000000003,pi_3,29,29,29,29,29,0.2459123283624649,0.4693913161754608,1.201655626296997,2.240093231201172,0.7692173719406128,2.8845629692077637,10.905041515362141,31.02130303740904
upstream,61,3.0500000000000003,pi_4,29,28,29,28,28,0.2459123283624649,0.4693913161754608,1.201655626296997,2.240093231201172,0.7914256453514099,2.8845629692077637,10.905041515362141,31.02130303740904
upstream,61,3.0500000000000003,pi_5,29,28,29,28,28,0.2459123283624649,0.4693913161754608,1.201655626296997,2.240093231201172,0.7914256453514099,2.8845629692077637,10.905041515362141,31.02130303740904
upstream,61,3.0500000000000003,pi_6,29,29,29,29,29,0.2459123283624649,0.4693913161754608,1.201655626296997,2.240093231201172,0.7692173719406128,2.8845629692077637,10.905041515362141,31.02130303740904
upstream,61,3.0500000000000003,union,29,29,29,29,29,0.2459123283624649,0.4693913161754608,1.201655626296997,2.240093231201172,0.7692173719406128,2.8845629692077637,10.905041515362141,31.02130303740904
upstream,62,3.1,pi_0,29,28,29,28,28,0.2887532114982605,0.4977053701877594,1.272425651550293,2.269167423248291,0.3082912266254425,2.017904758453369,10.977570238012754,26.729979523225524
upstream,62,3.1,pi_1,29,28,29,28,28,0.2887532114982605,0.4977053701877594,1.272425651550293,2.269167423248291,0.3082912266254425,2.017904758453369,10.977570238012754,26.729979523225524
upstream,62,3.1,pi_2,29,28,29,28,28,0.2887532114982605,0.4977053701877594,1.272425651550293,2.269167423248291,0.3082912266254425,2.017904758453369,10.977570238012754,26.729979523225524
upstream,62,3.1,pi_3,29,28,29,28,28,0.2887532114982605,0.4977053701877594,1.272425651550293,2.269167423248291,0.11049730330705643,2.017904758453369,10.977570238012754,26.729979523225524
upstream,62,3.1,pi_4,29,28,29,28,28,0.2887532114982605,0.4977053701877594,1.272425651550293,2.269167423248291,0.3082912266254425,2.017904758453369,10.977570238012754,26.729979523225524
upstream,62,3.1,pi_5,29,28,29,28,28,0.2887532114982605,0.4977053701877594,1.272425651550293,2.269167423248291,0.3082912266254425,2.017904758453369,10.977570238012754,26.729979523225524
upstream,62,3.1,pi_6,29,29,29,29,29,0.2887532114982605,0.4977053701877594,1.272425651550293,2.269167423248291,0.11049730330705643,2.017904758453369,10.977570238012754,26.729979523225524
upstream,62,3.1,union,29,29,29,29,29,0.2887532114982605,0.4977053701877594,1.272425651550293,2.269167423248291,0.11049730330705643,2.017904758453369,10.977570238012754,26.729979523225524
upstream,63,3.1500000000000004,pi_0,29,28,29,28,28,0.3623969256877899,0.5370181202888489,1.4990476369857788,2.072786808013916,0.25187280774116516,1.6825058460235596,4.754174438336206,21.89712442315254
upstream,63,3.1500000000000004,pi_1,29,28,29,28,28,0.3623969256877899,0.5370181202888489,1.4990476369857788,2.072786808013916,0.25187280774116516,1.6825058460235596,4.754174438336206,21.89712442315254
upstream,63,3.1500000000000004,pi_2,29,28,29,28,28,0.3623969256877899,0.5370181202888489,1.4990476369857788,2.072786808013916,0.25187280774116516,1.6825058460235596,4.754174438336206,21.89712442315254
upstream,63,3.1500000000000004,pi_3,29,28,29,28,28,0.35607075691223145,0.5370181202888489,1.449048399925232,2.072786808013916,0.12345080822706223,1.6825058460235596,4.754174438336206,21.89712442315254
upstream,63,3.1500000000000004,pi_4,29,28,29,28,28,0.3623969256877899,0.5370181202888489,1.4990476369857788,2.072786808013916,0.25187280774116516,1.6825058460235596,4.754174438336206,21.89712442315254
upstream,63,3.1500000000000004,pi_5,29,28,29,28,28,0.3623969256877899,0.5370181202888489,1.4990476369857788,2.072786808013916,0.25187280774116516,1.6825058460235596,4.754174438336206,21.89712442315254
upstream,63,3.1500000000000004,pi_6,29,29,29,29,29,0.35607075691223145,0.5370181202888489,1.449048399925232,2.072786808013916,0.12345080822706223,1.6825058460235596,4.754174438336206,21.89712442315254
upstream,63,3.1500000000000004,union,29,29,29,29,29,0.35607075691223145,0.5370181202888489,1.449048399925232,2.072786808013916,0.12345080822706223,1.6825058460235596,4.754174438336206,21.89712442315254
upstream,64,3.2,pi_0,28,27,27,26,27,0.39128145575523376,0.5452288389205933,1.5175188779830933,2.065516948699951,0.18495389819145203,1.3917124271392822,2.354977854637405,14.76307766144287
upstream,64,3.2,pi_1,28,27,27,26,27,0.39128145575523376,0.5452288389205933,1.5175188779830933,2.065516948699951,0.18495389819145203,1.3917124271392822,2.354977854637405,14.76307766144287
upstream,64,3.2,pi_2,28,27,27,26,27,0.39128145575523376,0.5452288389205933,1.5175188779830933,2.065516948699951,0.18495389819145203,1.3917124271392822,2.354977854637405,14.76307766144287
upstream,64,3.2,pi_3,28,27,27,26,27,0.36412954330444336,0.5452288389205933,1.5484380722045898,2.065516948699951,0.039470650255680084,1.3917124271392822,2.354977854637405,14.76307766144287
upstream,64,3.2,pi_4,28,27,27,26,27,0.39128145575523376,0.5452288389205933,1.5175188779830933,2.065516948699951,0.18495389819145203,1.3917124271392822,2.354977854637405,14.76307766144287
upstream,64,3.2,pi_5,28,28,27,27,28,0.36412954330444336,0.5452288389205933,1.5175188779830933,2.065516948699951,0.039470650255680084,1.3917124271392822,2.354977854637405,14.76307766144287
upstream,64,3.2,pi_6,28,28,27,27,28,0.36412954330444336,0.5452288389205933,1.5175188779830933,2.065516948699951,0.039470650255680084,1.3917124271392822,2.354977854637405,14.76307766144287
upstream,64,3.2,union,28,28,27,27,28,0.36412954330444336,0.5452288389205933,1.5175188779830933,2.065516948699951,0.039470650255680084,1.3917124271392822,2.354977854637405,14.76307766144287
upstream,65,3.25,pi_0,27,26,27,26,26,0.41392984986305237,0.5605175495147705,1.6027605533599854,2.0981571674346924,0.09062070399522781,1.0968613624572754,-2.2053888374525368,9.116946631595122
upstream,65,3.25,pi_1,27,26,27,26,26,0.41392984986305237,0.5605175495147705,1.6027605533599854,2.0981571674346924,0.09062070399522781,1.0968613624572754,-2.2053888374525368,9.116946631595122
upstream,65,3.25,pi_2,27,24,27,24,24,0.41392984986305237,0.5605175495147705,1.6027605533599854,2.0981571674346924,0.09062070399522781,1.0968613624572754,-2.2053888374525368,9.116946631595122
upstream,65,3.25,pi_3,27,26,27,26,26,0.36707159876823425,0.5605175495147705,1.6027605533599854,2.0981571674346924,0.0018073987448588014,1.0968613624572754,-2.2053888374525368,8.752348309514907
upstream,65,3.25,pi_4,27,26,27,26,26,0.41392984986305237,0.5605175495147705,1.6027605533599854,2.0981571674346924,0.09062070399522781,1.0968613624572754,-2.2053888374525368,9.116946631595122
upstream,65,3.25,pi_5,27,27,27,27,27,0.36707159876823425,0.5605175495147705,1.6027605533599854,2.0981571674346924,0.0018073987448588014,1.0968613624572754,-2.2053888374525368,9.116946631595122
upstream,65,3.25,pi_6,27,27,27,27,27,0.36707159876823425,0.5605175495147705,1.6027605533599854,2.0981571674346924,0.0018073987448588014,1.0968613624572754,-2.2053888374525368,9.116946631595122
upstream,65,3.25,union,27,27,27,27,27,0.36707159876823425,0.5605175495147705,1.6027605533599854,2.0981571674346924,0.0018073987448588014,1.0968613624572754,-2.2053888374525368,9.116946631595122
upstream,66,3.3000000000000003,pi_0,27,26,27,26,26,0.43222489953041077,0.5714722275733948,1.688493251800537,2.034761428833008,0.2646802067756653,0.9311057925224304,-3.8033183672296667,5.011009764342299
upstream,66,3.3000000000000003,pi_1,27,26,27,26,26,0.43222489953041077,0.5714722275733948,1.688493251800537,2.034761428833008,0.2646802067756653,0.9311057925224304,-3.8033183672296667,5.011009764342299
upstream,66,3.3000000000000003,pi_2,27,22,27,22,22,0.43222489953041077,0.5714722275733948,1.688493251800537,2.034761428833008,0.2646802067756653,0.9311057925224304,-3.8033183672296667,5.011009764342299
upstream,66,3.3000000000000003,pi_3,27,27,27,27,27,0.37051787972450256,0.5714722275733948,1.688493251800537,2.034761428833008,-0.09743646532297134,0.9311057925224304,-3.8033183672296667,5.011009764342299
upstream,66,3.3000000000000003,pi_4,27,24,27,24,24,0.43222489953041077,0.5714722275733948,1.688493251800537,2.034761428833008,0.2646802067756653,0.9311057925224304,-3.8033183672296667,5.011009764342299
upstream,66,3.3000000000000003,pi_5,27,24,27,24,24,0.37051787972450256,0.5714722275733948,1.688493251800537,2.034761428833008,-0.09743646532297134,0.9311057925224304,-3.8033183672296667,5.011009764342299
upstream,66,3.3000000000000003,pi_6,27,27,27,27,27,0.37051787972450256,0.5714722275733948,1.688493251800537,2.034761428833008,-0.09743646532297134,0.9311057925224304,-3.8033183672296667,5.011009764342299
upstream,66,3.3000000000000003,union,27,27,27,27,27,0.37051787972450256,0.5714722275733948,1.688493251800537,2.034761428833008,-0.09743646532297134,0.9311057925224304,-3.8033183672296667,5.011009764342299
upstream,67,3.35,pi_0,27,26,27,26,26,0.44739267230033875,0.5898230075836182,1.742129921913147,2.035097122192383,0.24832701683044434,0.7944199442863464,-6.289487224868339,0.7178171364291003
upstream,67,3.35,pi_1,27,26,27,26,26,0.44739267230033875,0.5898230075836182,1.742129921913147,2.035097122192383,0.24832701683044434,0.7944199442863464,-6.289487224868339,0.7178171364291003
upstream,67,3.35,pi_2,27,25,27,25,25,0.44739267230033875,0.5898230075836182,1.742129921913147,2.035097122192383,0.24832701683044434,0.7944199442863464,-6.289487224868339,0.7178171364291003
upstream,67,3.35,pi_3,27,27,27,27,27,0.3711526393890381,0.5898230075836182,1.742129921913147,2.035097122192383,-0.13673721253871918,0.7944199442863464,-6.289487224868339,0.7178171364291003
upstream,67,3.35,pi_4,27,25,27,25,25,0.44739267230033875,0.5898230075836182,1.742129921913147,2.035097122192383,0.24832701683044434,0.7944199442863464,-6.289487224868339,0.7178171364291003
upstream,67,3.35,pi_5,27,26,27,26,26,0.44739267230033875,0.5898230075836182,1.742129921913147,2.035097122192383,0.24832701683044434,0.7944199442863464,-6.289487224868339,0.7178171364291003
