arm,scenario,interactions,completed_candidates,positive_candidates,negative_candidates,unknown_candidates,witnessed_root_cells,novel_root_cells
pi_6,exploration_only,0,0,0,0,0,0,0
pi_6,exploration_only,363,0,0,0,0,0,0
pi_6,exploration_only,399,1,1,0,0,1,0
pi_6,exploration_only,432,2,2,0,0,2,0
pi_6,exploration_only,461,3,3,0,0,3,0
pi_6,exploration_only,491,4,4,0,0,4,0
pi_6,exploration_only,517,5,5,0,0,5,0
pi_6,exploration_only,542,6,6,0,0,6,0
pi_6,exploration_only,566,7,7,0,0,7,1
pi_6,exploration_only,591,8,8,0,0,8,2
pi_6,exploration_only,613,9,9,0,0,9,3
pi_6,exploration_only,634,10,10,0,0,10,4
pi_6,exploration_only,652,11,11,0,0,11,5
pi_6,exploration_only,670,12,12,0,0,12,6
pi_6,exploration_only,688,13,13,0,0,13,7
pi_6,exploration_only,704,14,14,0,0,14,8
pi_6,exploration_only,718,15,15,0,0,15,9
pi_6,exploration_only,732,16,16,0,0,16,10
pi_6,exploration_only,744,17,17,0,0,17,11
pi_6,exploration_only,755,18,18,0,0,18,12
pi_6,exploration_only,764,19,19,0,0,19,13
pi_6,exploration_only,772,20,20,0,0,20,14
pi_6,exploration_only,778,21,21,0,0,21,15
pi_6,exploration_only,783,22,22,0,0,22,16
pi_6,exploration_only,787,23,23,0,0,23,17
pi_6,exploration_only,790,24,24,0,0,24,18
pi_6,exploration_only,791,25,25,0,0,25,19
pi_6,exploration_only,826,26,26,0,0,26,19
pi_6,exploration_only,857,27,27,0,0,27,19
pi_6,exploration_only,887,28,28,0,0,28,20
pi_6,exploration_only,917,29,29,0,0,29,21
pi_6,exploration_only,945,30,30,0,0,30,22
pi_6,exploration_only,972,31,31,0,0,31,23
pi_6,exploration_only,997,32,32,0,0,32,24
pi_6,exploration_only,1020,33,33,0,0,33,25
pi_6,exploration_only,1041,34,34,0,0,34,26
pi_6,exploration_only,1062,35,35,0,0,35,27
pi_6,exploration_only,1083,36,36,0,0,36,28
pi_6,exploration_only,1103,37,37,0,0,37,29
pi_6,exploration_only,1121,38,38,0,0,38,30
pi_6,exploration_only,1138,39,39,0,0,39,31
pi_6,exploration_only,1154,40,40,0,0,40,32
pi_6,exploration_only,1168,41,41,0,0,41,33
pi_6,exploration_only,1180,42,42,0,0,42,34
pi_6,exploration_only,1191,43,43,0,0,43,35
pi_6,exploration_only,1201,44,44,0,0,44,36
pi_6,exploration_only,1210,45,45,0,0,45,37
pi_6,exploration_only,1220,46,46,0,0,46,38
pi_6,exploration_only,1227,47,47,0,0,47,39
pi_6,exploration_only,1233,48,48,0,0,48,40
pi_6,exploration_only,1239,49,49,0,0,49,41
pi_6,exploration_only,1243,50,50,0,0,50,42
pi_6,exploration_only,1245,51,51,0,0,51,43
pi_6,exploration_only,1246,52,52,0,0,52,44
pi_6,exploration_only,1281,53,53,0,0,53,44
pi_6,exploration_only,1313,54,54,0,0,54,44
pi_6,exploration_only,1343,55,55,0,0,55,44
pi_6,exploration_only,1370,56,56,0,0,56,44
pi_6,exploration_only,1396,57,57,0,0,57,44
pi_6,exploration_only,1421,58,58,0,0,58,44
pi_6,exploration_only,1445,59,59,0,0,59,44
pi_6,exploration_only,1468,60,60,0,0,60,44
pi_6,exploration_only,1490,61,61,0,0,61,44
pi_6,exploration_only,1512,62,62,0,0,62,44
pi_6,exploration_only,1530,63,63,0,0,63,44
pi_6,exploration_only,1548,64,64,0,0,64,44
pi_6,exploration_only,1563,65,65,0,0,65,45
pi_6,exploration_only,1579,66,66,0,0,66,45
pi_6,exploration_only,1593,67,67,0,0,67,46
pi_6,exploration_only,1605,68,68,0,0,68,47
pi_6,exploration_only,1612,69,69,0,0,69,48
pi_6,exploration_only,1618,70,70,0,0,70,49
pi_6,exploration_only,1622,71,71,0,0,71,50
pi_6,exploration_only,1626,72,72,0,0,72,51
pi_6,exploration_only,1629,73,73,0,0,73,52
pi_6,exploration_only,1630,74,74,0,0,74,53
pi_6,exploration_only,1666,75,75,0,0,75,53
pi_6,exploration_only,1700,76,76,0,0,76,53
pi_6,exploration_only,1729,77,77,0,0,77,54
pi_6,exploration_only,1759,78,78,0,0,78,55
pi_6,exploration_only,1788,79,79,0,0,79,56
pi_6,exploration_only,1816,80,80,0,0,80,57
pi_6,exploration_only,1842,81,81,0,0,81,58
pi_6,exploration_only,1868,82,82,0,0,82,58
pi_6,exploration_only,1893,83,83,0,0,83,58
pi_6,exploration_only,1920,84,84,0,0,84,59
pi_6,exploration_only,1942,85,85,0,0,85,60
pi_6,exploration_only,1963,86,86,0,0,86,61
pi_6,exploration_only,1984,87,87,0,0,87,62
