arm,candidate_index,candidate_id,state_sha256,phase,root_cell,root_x_m,root_y_m,root_z_m,root_vx_mps,root_vy_mps,root_vz_mps,roll_deg,pitch_deg,yaw_deg,root_wx_degps,root_wy_degps,root_wz_degps,steering_deg,hip_deg,knee_deg,steering_rate_degps,hip_rate_degps,knee_rate_degps,rearwheel_tangent_mps,frontwheel_tangent_mps,label,novel_positive
pi_6,0,pi6_causal_upstream_000000,961bc9b2f58ba006faf8b0e1b10cd1117b290203d731553a68d31cc6eae0b318,upstream,fcd0061c3dfc1adc55b01326c4a0b5344449778108563565d9f02be0ba321e24,2.800137758255005,-0.0025783211458474398,0.11781153827905655,1.0292664766311646,0.016488319262862206,0.10544197261333466,-0.9171211679382044,-0.1232268934033157,-0.5858802285758865,-4.300427547204836,25.627493020649606,7.220514844285116,-0.12149956710271229,-64.78732907023824,133.05801363604795,5.4044879260628464,346.94866598579887,-422.0569231561141,0.5974347019195557,0.99995192527771,1,False
pi_6,1,pi6_causal_upstream_000001,581a674333fbe490fbdde93b91d17d123c674a98ff645f992c537b8b08391d35,upstream,58d4d9709979012f74e4dd55810eb93414d33d420bcb035865d50d72c7114b78,2.8268587589263916,-0.003259400138631463,0.11937067657709122,0.6206007599830627,-0.04872644692659378,0.043158404529094696,-1.3633385423162059,0.3482260612740567,-1.0887616582034525,-17.000812127214466,11.310021454164904,-27.605785596757514,-16.24937179020259,-44.14610466258243,106.32069854508862,92.31732176532341,548.8771709099996,-907.632201366759,1.0641405773162842,0.618928451538086,1,False
pi_6,2,pi6_causal_upstream_000002,3969ae83d6970f9f3dc1db5569718996a9edbae4d078bfa1dfafa20e7cc8d092,upstream,f5da945468782e0b795aef2330a2bb74f7fece41b274e86d0029cf002c6f1d5f,2.8827595710754395,-0.0019221677212044597,0.19842898845672607,1.3854048252105713,0.055594272911548615,2.605854034423828,-2.134761438031835,26.708094720737098,-2.842418508704877,0.4129243156367042,568.4368109569217,-22.083331765992085,-2.120087730164196,-47.69839725744685,45.27306880016161,83.4929290935312,-372.2423044824601,-731.5317289398813,1.3990798187255862,-0.6961302852630616,1,False
pi_6,3,pi6_causal_upstream_000003,c85f24a7ffb2170971dd2c46670008eaeba27b2ccf5b1eca01ed9a9da48711a9,upstream,995a04e5e29f4c62515dd14f7d38c5105ab1c2598a399d2ad7ec4795c514fdfa,2.9593818187713623,0.00035278615541756153,0.3158896565437317,2.23852801322937,0.043974582105875015,3.0578689575195312,-2.698986327062605,28.770327695860765,-4.616731981646197,8.305562110927927,-406.0312503065132,-40.617635767543014,27.297320593461396,-60.664961566487875,61.112680466582205,124.4060764106094,-117.34859220539697,1062.4518807173845,2.58958797454834,0.45467135429382327,1,False
pi_6,4,pi6_causal_upstream_000004,59dbb0e3fab7d7b52ad8f4f66d2cb68454b44767b3e937cdb3096b6eddae940d,upstream,8ea0f60f743fa0ef3f081319a21e63bddb9f12ae5cf16eb381261c71e7a68cd4,3.001713752746582,0.0011768594849854708,0.37284746766090393,2.0558454990386963,0.03727216273546219,2.673741340637207,-2.8250860995336033,22.842233771459224,-5.148905510533348,1.840516988378173,-242.72044370426784,-32.99330050273288,37.85340356892549,-62.60806842308646,76.36000544893598,-79.33997600267753,-76.04475806779405,594.4003817281346,2.176364097595215,0.26487064838409424,1,False
pi_6,5,pi6_causal_upstream_000005,2a4dd33b13f048f9669b370d51b6895b26489646b9f72606e982a0fb3e7cb2c2,upstream,58aaf1d34e7c5663eb5052a74fe4956d0905bf1f0590933c1b12513468c3ddd8,3.039271116256714,0.001812270493246615,0.4163525700569153,1.7294750213623047,0.02449212409555912,1.654596209526062,-3.0110077569358973,21.16131578171934,-5.697141272754715,0.3392526679493301,41.1270005399913,-25.854518263377074,40.382827524256314,-64.11653619185128,80.60530269736824,-55.54653050060162,-48.092345493300265,-134.8458839531905,1.8295780563354493,-0.0007978207990527154,1,False
pi_6,6,pi6_causal_upstream_000006,a5c5a730c175f8d472c4910e74574faac58bf4380ea62b0c0c0911d71db63b43,upstream,790f053a573e823380a01b0daf68906ef63cb711f038770eaae7aaf0e048d695,3.104698419570923,0.0018999079475179315,0.4478534162044525,1.6295185089111328,-0.0023673218674957752,0.43384936451911926,-3.2710996724093424,18.08517192553978,-6.720786630342636,4.0682984456200755,-165.1248638646657,-32.457936615208936,38.32942677294036,-52.70182501318301,61.6516302034204,24.497122326221884,447.3862698817562,-567.0025258727325,2.0815925025939945,0.19596184492111207,1,True
pi_6,7,pi6_causal_upstream_000007,feec1895ad9abdc693dd5df608fe11cf9d14e50f6a97438fe20d42298b986ddb,upstream,7e1086b03d5db170ad45b8387852a4fd220df011498f717c0c9188df801474cb,3.1360647678375244,0.001924333511851728,0.45274946093559265,1.5773098468780518,0.012713353149592876,0.32896292209625244,-3.333440570440597,15.068042705974381,-7.237524678681972,4.6249417875031895,-129.636307427925,-35.85740031229974,37.233878090448655,-42.470034296869244,47.06307013632519,27.048776839753803,465.80316463902193,-691.8995289601256,2.038233165740967,0.16197498559951784,1,True
pi_6,8,pi6_causal_upstream_000008,2e325167187043bf97294ce6f6e9b84a15f5a74e3f3c483183aebb8cbd2000c9,upstream,c31a1fc8852971a60c3b0e3e7c4b79c7c763fbb53c98a41ee984c935bd249db8,3.1993141174316406,0.0031135145109146833,0.46661826968193054,1.6304913759231567,0.041877079755067825,0.37733638286590576,-3.416013148309393,9.274299638093355,-8.54768174326064,4.753003565572698,-187.53166826710773,-46.515469964903176,35.25166157066258,-23.523221020395397,19.946911772861917,28.009859588055466,482.6460832831932,-591.551701070619,2.1089701652526855,0.2175380897521973,1,True
pi_6,9,pi6_causal_upstream_000009,239f2bc3d621d7aadada030c83235008e8c0e64f625d61d067bf0b5203287cd3,upstream,a9a63acd9cf67c3716c5e3c098e9a96a9d5a9dc7cf595512a937f85b6dd8c164,3.233668565750122,0.003988565411418676,0.47670724987983704,1.740317940711975,0.04149579629302025,0.40612316131591797,-3.439076243456418,5.836795016914132,-9.3234803272904,3.404723369638534,-229.5008584525183,-52.2197980728877,34.104155639154584,-17.26372830648306,14.001903166451772,33.932010966408164,400.76055724855445,-326.50601908297745,2.1602535820007325,0.2521545195579529,1,True
