phase,x_bin,x_m,policy,reached_candidates,successful_candidates,reached_root_cells,root_cells,full_cells,root_z_m_min,root_z_m_max,root_vx_mps_min,root_vx_mps_max,root_vz_mps_min,root_vz_mps_max,pitch_deg_min,pitch_deg_max
upstream,55,2.75,pi_0,16,12,11,9,9,0.11873812228441238,0.1201678067445755,1.8639659881591797,1.925232172012329,-0.0878700241446495,0.04090212285518646,0.12132611390808463,0.4477585748402855
upstream,55,2.75,pi_1,16,15,11,11,11,0.11873812228441238,0.1201678067445755,1.8639659881591797,1.925232172012329,-0.0878700241446495,0.04090212285518646,0.12132611390808463,0.4477585748402855
upstream,55,2.75,pi_2,16,7,11,6,6,0.11873812228441238,0.1201678067445755,1.8763375282287598,1.8987822532653809,-0.08468396961688995,0.04090212285518646,0.12132611390808463,0.4477585748402855
upstream,55,2.75,pi_3,16,15,11,10,10,0.11873812228441238,0.1201678067445755,1.8639659881591797,1.925232172012329,-0.0878700241446495,0.04090212285518646,0.12132611390808463,0.4477585748402855
upstream,55,2.75,pi_4,16,16,11,11,11,0.11873812228441238,0.1201678067445755,1.8639659881591797,1.925232172012329,-0.0878700241446495,0.04090212285518646,0.12132611390808463,0.4477585748402855
upstream,55,2.75,union,16,16,11,11,11,0.11873812228441238,0.1201678067445755,1.8639659881591797,1.925232172012329,-0.0878700241446495,0.04090212285518646,0.12132611390808463,0.4477585748402855
upstream,56,2.8000000000000003,pi_0,16,13,16,13,13,0.1186213493347168,0.1193082258105278,1.6513848304748535,1.931049108505249,-0.06352792680263519,0.09675371646881104,0.031195348962666528,0.19694127318655189
upstream,56,2.8000000000000003,pi_1,16,14,16,14,14,0.11856220662593842,0.1193082258105278,1.1444205045700073,1.931049108505249,-0.06352792680263519,0.09675371646881104,0.031195348962666528,0.27920809177132827
upstream,56,2.8000000000000003,pi_2,16,13,16,13,13,0.11831624060869217,0.1193082258105278,0.7270516157150269,1.931049108505249,-0.06352792680263519,0.09675371646881104,-0.06631210792593362,0.19694127318655189
upstream,56,2.8000000000000003,pi_3,16,16,16,16,16,0.11831624060869217,0.1193082258105278,0.7270516157150269,1.931049108505249,-0.06352792680263519,0.09675371646881104,-0.06631210792593362,0.27920809177132827
upstream,56,2.8000000000000003,pi_4,16,16,16,16,16,0.11831624060869217,0.1193082258105278,0.7270516157150269,1.931049108505249,-0.06352792680263519,0.09675371646881104,-0.06631210792593362,0.27920809177132827
upstream,56,2.8000000000000003,union,16,16,16,16,16,0.11831624060869217,0.1193082258105278,0.7270516157150269,1.931049108505249,-0.06352792680263519,0.09675371646881104,-0.06631210792593362,0.27920809177132827
