candidate_index,phase,full_cost,first_success_cost,label,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6
0,upstream,282,36,1,success,untested,untested,untested,untested,untested,untested
1,upstream,271,34,1,success,untested,untested,untested,untested,untested,untested
2,upstream,217,29,1,success,untested,untested,untested,untested,untested,untested
3,upstream,202,29,1,success,untested,untested,untested,untested,untested,untested
4,upstream,193,26,1,success,untested,untested,untested,untested,untested,untested
5,upstream,191,26,1,success,untested,untested,untested,untested,untested,untested
6,upstream,170,25,1,success,untested,untested,untested,untested,untested,untested
7,upstream,162,24,1,success,untested,untested,untested,untested,untested,untested
8,upstream,149,22,1,success,untested,untested,untested,untested,untested,untested
9,upstream,142,20,1,success,untested,untested,untested,untested,untested,untested
10,upstream,129,18,1,success,untested,untested,untested,untested,untested,untested
11,upstream,120,17,1,success,untested,untested,untested,untested,untested,untested
12,upstream,115,17,1,success,untested,untested,untested,untested,untested,untested
13,upstream,103,14,1,success,untested,untested,untested,untested,untested,untested
14,upstream,94,13,1,success,untested,untested,untested,untested,untested,untested
15,upstream,87,12,1,success,untested,untested,untested,untested,untested,untested
16,upstream,75,10,1,success,untested,untested,untested,untested,untested,untested
17,upstream,67,9,1,success,untested,untested,untested,untested,untested,untested
18,downstream,51,7,1,success,untested,untested,untested,untested,untested,untested
19,downstream,44,6,1,success,untested,untested,untested,untested,untested,untested
20,downstream,38,5,1,success,untested,untested,untested,untested,untested,untested
21,downstream,31,5,1,success,untested,untested,untested,untested,untested,untested
22,downstream,15,2,1,success,untested,untested,untested,untested,untested,untested
23,downstream,7,1,1,success,untested,untested,untested,untested,untested,untested
24,upstream,254,35,1,success,untested,untested,untested,untested,untested,untested
25,upstream,240,31,1,success,untested,untested,untested,untested,untested,untested
26,upstream,243,30,1,success,untested,untested,untested,untested,untested,untested
27,upstream,221,31,1,success,untested,untested,untested,untested,untested,untested
28,upstream,206,28,1,success,untested,untested,untested,untested,untested,untested
29,upstream,197,27,1,success,untested,untested,untested,untested,untested,untested
30,upstream,177,24,1,success,untested,untested,untested,untested,untested,untested
31,upstream,163,24,1,success,untested,untested,untested,untested,untested,untested
32,upstream,158,22,1,success,untested,untested,untested,untested,untested,untested
33,upstream,143,20,1,success,untested,untested,untested,untested,untested,untested
34,upstream,135,19,1,success,untested,untested,untested,untested,untested,untested
35,upstream,128,18,1,success,untested,untested,untested,untested,untested,untested
36,upstream,117,17,1,success,untested,untested,untested,untested,untested,untested
37,upstream,110,16,1,success,untested,untested,untested,untested,untested,untested
38,upstream,102,14,1,success,untested,untested,untested,untested,untested,untested
39,upstream,97,14,1,success,untested,untested,untested,untested,untested,untested
40,upstream,90,13,1,success,untested,untested,untested,untested,untested,untested
41,upstream,83,12,1,success,untested,untested,untested,untested,untested,untested
42,downstream,76,11,1,success,untested,untested,untested,untested,untested,untested
43,downstream,69,10,1,success,untested,untested,untested,untested,untested,untested
44,downstream,62,9,1,success,untested,untested,untested,untested,untested,untested
45,downstream,55,8,1,success,untested,untested,untested,untested,untested,untested
46,downstream,41,6,1,success,untested,untested,untested,untested,untested,untested
47,downstream,33,5,1,success,untested,untested,untested,untested,untested,untested
48,downstream,20,3,1,success,untested,untested,untested,untested,untested,untested
49,downstream,14,2,1,success,untested,untested,untested,untested,untested,untested
50,downstream,7,1,1,success,untested,untested,untested,untested,untested,untested
51,upstream,265,36,1,success,untested,untested,untested,untested,untested,untested
52,upstream,242,32,1,success,untested,untested,untested,untested,untested,untested
53,upstream,238,29,1,success,untested,untested,untested,untested,untested,untested
54,upstream,236,27,1,success,untested,untested,untested,untested,untested,untested
55,upstream,223,28,1,success,untested,untested,untested,untested,untested,untested
56,upstream,216,27,1,success,untested,untested,untested,untested,untested,untested
57,upstream,193,23,1,success,untested,untested,untested,untested,untested,untested
58,upstream,183,26,1,success,untested,untested,untested,untested,untested,untested
59,upstream,169,22,1,success,untested,untested,untested,untested,untested,untested
60,upstream,189,19,1,success,untested,untested,untested,untested,untested,untested
61,upstream,148,18,1,success,untested,untested,untested,untested,untested,untested
62,upstream,150,17,1,success,untested,untested,untested,untested,untested,untested
63,upstream,129,17,1,success,untested,untested,untested,untested,untested,untested
64,upstream,125,17,1,success,untested,untested,untested,untested,untested,untested
65,upstream,118,16,1,success,untested,untested,untested,untested,untested,untested
66,downstream,108,15,1,success,untested,untested,untested,untested,untested,untested
67,downstream,97,13,1,success,untested,untested,untested,untested,untested,untested
68,downstream,87,12,1,success,untested,untested,untested,untested,untested,untested
69,downstream,79,11,1,success,untested,untested,untested,untested,untested,untested
70,downstream,68,9,1,success,untested,untested,untested,untested,untested,untested
71,downstream,52,7,1,success,untested,untested,untested,untested,untested,untested
72,downstream,45,6,1,success,untested,untested,untested,untested,untested,untested
