candidate_id,state_sha256,trajectory_id,phase,x_m,z_m,bank_success,status,forward_trajectory_landed,pi_0,pi_1,pi_2,pi_3
pi2_causal_upstream_000062,32b97f945cad4e8c802089674ba7c70114860f735c089e6a4f7ac2e34afd424f,dense_v1_train_x2.85_family2/variant_7,upstream,2.7386176586151123,0.11931861191987991,True,policy_disagreement,True,0,1,0,1
pi2_causal_upstream_000063,affb98b3507a1556c632ee9c17bb8fc45713bc0705215e3c11d39f3b3640fe5f,dense_v1_train_x2.85_family2/variant_7,upstream,2.804399013519287,0.11891337484121323,True,policy_disagreement,True,0,1,1,1
pi2_causal_upstream_000064,692fc58c147f95d1a7d5a5a1fca156fa8b49c020faa4f6ff7297e6ce09880d0d,dense_v1_train_x2.85_family2/variant_7,upstream,2.833942174911499,0.1183817908167839,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000065,2862e1975f93fac9834db81c8076a744b0daa75ffd95e6e454c0b1b88806f92f,dense_v1_train_x2.85_family2/variant_7,upstream,2.889416456222534,0.1509101241827011,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000066,b100400c38cc713453114719e0e38fbe5505aa5c8d4be7fc9caffa31fcf5e078,dense_v1_train_x2.85_family2/variant_7,upstream,2.93752384185791,0.24644199013710022,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000067,36944b800da6c844160c850837128204a2d5bcb32028452d641add702a4faa74,dense_v1_train_x2.85_family2/variant_7,upstream,2.9787449836730957,0.30683469772338867,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000068,83c6be674188c53420c98e8b2f4f7395fa47f6905c67b7bf111950dc6f34ccbf,dense_v1_train_x2.85_family2/variant_7,upstream,3.0255489349365234,0.37124064564704895,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000069,b03ae1c537554056ada78d9abc2c357c9ea21aebbbcb08c66d079f04b80024b1,dense_v1_train_x2.85_family2/variant_7,upstream,3.101254463195801,0.46072542667388916,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000070,398c29874ce8f17334f994ca8c17297748b4c6f6fa7e1e734a74369c352f19be,dense_v1_train_x2.85_family2/variant_7,upstream,3.1268880367279053,0.4680919647216797,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000071,a32b28d176e26cb5e9dc73ac4a35744924275eca5afc89c46868a475843d2337,dense_v1_train_x2.85_family2/variant_7,upstream,3.200727701187134,0.47353053092956543,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000072,cf7c91bd9d2031559d0f31835ccf6ed9e8b529a1b10474cae90e5efa56bd6841,dense_v1_train_x2.85_family2/variant_7,upstream,3.232783555984497,0.4808727502822876,True,all_succeed,True,1,1,1,1
