phase,x_slice_center_m,observed_min_root_z_m,actual_x_m,candidate_id,trajectory_id,state_sha256,samples,continuous_path_claim
downstream,3.5500000000000003,0.6810527443885803,3.5690410137176514,pi2_causal_downstream_000249,dense_v1_train_x2.95_family4/variant_4,2bddc07a8fe7cae4df4086b5bbaa1522e4a2f5fb39de8491e1dc9a647ac6e78d,2,False
downstream,3.6,0.6076595783233643,3.6160290241241455,pi2_causal_downstream_000080,dense_v1_train_x2.85_family2/variant_7,23cd9a474bb015749104b9d3eb9fd8b6cb8b1a9593d0af4d976160be9c8d1992,5,False
downstream,3.6500000000000004,0.5958872437477112,3.653569221496582,pi2_causal_downstream_000081,dense_v1_train_x2.85_family2/variant_7,34e01f8b0aec4dc68d58c613c9fbd7d8303bd974b8665d8abb30ae81d0de71b0,6,False
downstream,3.7,0.5768339037895203,3.690070152282715,pi2_causal_downstream_000082,dense_v1_train_x2.85_family2/variant_7,18cb198826c772cd8764a30e3f0b3b0950f7c3e057b1b45fcf801ec17505778d,9,False
downstream,3.75,0.5192239284515381,3.756791353225708,pi2_causal_downstream_000210,dense_v1_train_x2.95_family2/variant_7,25d0d2ea359d2a41c9049a61f04b0b2ffe7ee604f07538451828e49d2c5bd6de,10,False
downstream,3.8000000000000003,0.4785723090171814,3.7940006256103516,pi2_causal_downstream_000084,dense_v1_train_x2.85_family2/variant_7,b5896c58c986c721040a444a06b297d7b41ecbd2a80c2e2e3b397e92de7fd100,10,False
downstream,3.85,0.3878253698348999,3.858217716217041,pi2_causal_downstream_000212,dense_v1_train_x2.95_family2/variant_7,90ac524b8b0bbae73b491c24fa7ff72a2d7776ef6fd850892ac16b240f0e96e9,10,False
downstream,3.9000000000000004,0.32218658924102783,3.8901729583740234,pi2_causal_downstream_000086,dense_v1_train_x2.85_family2/variant_7,4d1241dddf8b54b7e52011d9794adb79358e84cfa1956f48b9cda82839b202ee,9,False
downstream,3.95,0.3054213225841522,3.933673620223999,pi2_causal_downstream_000114,dense_v1_train_x2.85_family4/variant_4,8be08537980c5acd5909f35dac8ec38147137d2d933547821c9ea2b23d9f09a5,7,False
downstream,4.0,0.29294508695602417,4.000499725341797,pi2_causal_downstream_000026,dense_v1_train_x2.85_family0/variant_0,84f2b4bdc80591f3c772b0cfbd16b8e3a95428962e201c15fc458177b95a7afd,5,False
downstream,4.05,0.4139796495437622,4.036993980407715,pi2_causal_downstream_000258,dense_v1_train_x2.95_family4/variant_4,befbd54d58dd298a461af9286022967eee4ee4df9173809ee019065315dec88e,3,False
downstream,4.1000000000000005,0.37663137912750244,4.075530052185059,pi2_causal_downstream_000259,dense_v1_train_x2.95_family4/variant_4,ccd89ebf7b4d55d62a596aa18c21a5e5e9e22d7dfd8ffe6099044bfece235241,3,False
downstream,4.15,0.32379430532455444,4.1339430809021,pi2_causal_downstream_000168,dense_v1_train_x2.95_family1/variant_6,a99bb90507411a3b0f5ed3801c130f9e9a6ffdc56af6cea5590d23a679a0c0ec,2,False
upstream,2.75,0.11871135234832764,2.7393455505371094,pi2_causal_upstream_000000,dense_v1_train_x2.85_family0/variant_0,fa337be2e7d2566c85e3d08f3857dd6190733079a6de17f25246a2ee765dff6d,8,False
