phase,x_bin,x_m,policy,reached_candidates,successful_candidates,reached_root_cells,root_cells,full_cells,root_z_m_min,root_z_m_max,root_vx_mps_min,root_vx_mps_max,root_vz_mps_min,root_vz_mps_max,pitch_deg_min,pitch_deg_max
upstream,55,2.75,pi_0,8,7,6,6,6,0.11871135234832764,0.11931861191987991,1.7826511859893799,1.8831852674484253,-0.06876324862241745,0.09700600057840347,0.08515623816242271,0.22585452795655828
upstream,55,2.75,pi_1,8,8,6,6,6,0.11871135234832764,0.11931861191987991,1.7826511859893799,1.8831852674484253,-0.068763367831707,0.09700600057840347,0.08515623816242271,0.22585452795655828
upstream,55,2.75,pi_2,8,6,6,5,5,0.11871135234832764,0.11914727836847305,1.7826511859893799,1.8831852674484253,0.0006937209400348365,0.09700600057840347,0.08515623816242271,0.22585452795655828
upstream,55,2.75,pi_3,8,7,6,6,6,0.11871135234832764,0.11931861191987991,1.7826511859893799,1.8831852674484253,-0.068763367831707,0.09700600057840347,0.08515623816242271,0.22585452795655828
upstream,55,2.75,union,8,8,6,6,6,0.11871135234832764,0.11931861191987991,1.7826511859893799,1.8831852674484253,-0.068763367831707,0.09700600057840347,0.08515623816242271,0.22585452795655828
upstream,56,2.8000000000000003,pi_0,8,6,8,6,6,0.11844984441995621,0.11905168741941452,0.7081111669540405,1.9547710418701172,-0.05752326548099518,0.09775573015213013,-0.05997336079805747,0.12369774913647441
upstream,56,2.8000000000000003,pi_1,8,8,8,8,8,0.1179128959774971,0.11905168741941452,0.5663365721702576,1.9547710418701172,-0.05752326548099518,0.11296483129262924,-0.6241017441332904,0.257976410028481
upstream,56,2.8000000000000003,pi_2,8,6,8,6,6,0.1179128959774971,0.11905168741941452,0.5663365721702576,1.9547710418701172,-0.05752326548099518,0.11296483129262924,-0.6241017441332904,0.257976410028481
upstream,56,2.8000000000000003,pi_3,8,8,8,8,8,0.1179128959774971,0.11905168741941452,0.5663365721702576,1.9547710418701172,-0.05752326548099518,0.11296483129262924,-0.6241017441332904,0.257976410028481
upstream,56,2.8000000000000003,union,8,8,8,8,8,0.1179128959774971,0.11905168741941452,0.5663365721702576,1.9547710418701172,-0.05752326548099518,0.11296483129262924,-0.6241017441332904,0.257976410028481
upstream,57,2.85,pi_0,13,13,9,9,9,0.11746402829885483,0.11887229979038239,0.4929339289665222,1.9062920808792114,-0.08652547001838684,0.12402015924453735,-0.39544135104302175,0.24560415370839211
upstream,57,2.85,pi_1,13,13,9,9,9,0.11746402829885483,0.11887229979038239,0.4929339289665222,1.9062920808792114,-0.08652547001838684,0.12402015924453735,-0.39544135104302175,0.24560415370839211
upstream,57,2.85,pi_2,13,12,9,8,8,0.11746402829885483,0.11887229979038239,0.4929339289665222,1.9062920808792114,-0.08652547001838684,0.12402015924453735,-0.39544135104302175,0.24560415370839211
upstream,57,2.85,pi_3,13,13,9,9,9,0.11746402829885483,0.11887229979038239,0.4929339289665222,1.9062920808792114,-0.08652547001838684,0.12402015924453735,-0.39544135104302175,0.24560415370839211
upstream,57,2.85,union,13,13,9,9,9,0.11746402829885483,0.11887229979038239,0.4929339289665222,1.9062920808792114,-0.08652547001838684,0.12402015924453735,-0.39544135104302175,0.24560415370839211
upstream,58,2.9000000000000004,pi_0,10,10,10,10,10,0.11784567683935165,0.22272564470767975,0.8012005686759949,1.5154285430908203,0.04754750803112984,3.6252951622009277,-0.29372728152308325,33.0304797748539
upstream,58,2.9000000000000004,pi_1,10,10,10,10,10,0.11784567683935165,0.22272564470767975,0.8012005686759949,1.5154285430908203,0.04754750803112984,3.6252951622009277,-0.29372728152308325,33.0304797748539
upstream,58,2.9000000000000004,pi_2,10,10,10,10,10,0.11784567683935165,0.22272564470767975,0.8012005686759949,1.5154285430908203,0.04754750803112984,3.6252951622009277,-0.29372728152308325,33.0304797748539
upstream,58,2.9000000000000004,pi_3,10,10,10,10,10,0.11784567683935165,0.22272564470767975,0.8012005686759949,1.5154285430908203,0.04754750803112984,3.6252951622009277,-0.29372728152308325,33.0304797748539
upstream,58,2.9000000000000004,union,10,10,10,10,10,0.11784567683935165,0.22272564470767975,0.8012005686759949,1.5154285430908203,0.04754750803112984,3.6252951622009277,-0.29372728152308325,33.0304797748539
upstream,59,2.95,pi_0,10,10,10,10,10,0.16717252135276794,0.35864031314849854,0.9414312243461609,2.358665943145752,2.425764322280884,3.659205913543701,15.351132924867008,43.94245920461259
upstream,59,2.95,pi_1,10,10,10,10,10,0.16717252135276794,0.35864031314849854,0.9414312243461609,2.358665943145752,2.425764322280884,3.659205913543701,15.351132924867008,43.94245920461259
upstream,59,2.95,pi_2,10,10,10,10,10,0.16717252135276794,0.35864031314849854,0.9414312243461609,2.358665943145752,2.425764322280884,3.659205913543701,15.351132924867008,43.94245920461259
upstream,59,2.95,pi_3,10,10,10,10,10,0.16717252135276794,0.35864031314849854,0.9414312243461609,2.358665943145752,2.425764322280884,3.659205913543701,15.351132924867008,43.94245920461259
upstream,59,2.95,union,10,10,10,10,10,0.16717252135276794,0.35864031314849854,0.9414312243461609,2.358665943145752,2.425764322280884,3.659205913543701,15.351132924867008,43.94245920461259
upstream,60,3.0,pi_0,10,10,10,10,10,0.22538502514362335,0.42260992527008057,1.6834588050842285,2.3541126251220703,2.5574755668640137,3.5292983055114746,23.706301904179746,36.22945377116061
upstream,60,3.0,pi_1,10,10,10,10,10,0.22538502514362335,0.42260992527008057,1.6834588050842285,2.3541126251220703,2.5574755668640137,3.5292983055114746,23.706301904179746,36.22945377116061
upstream,60,3.0,pi_2,10,10,10,10,10,0.22538502514362335,0.42260992527008057,1.6834588050842285,2.3541126251220703,2.5574755668640137,3.5292983055114746,23.706301904179746,36.22945377116061
upstream,60,3.0,pi_3,10,9,10,9,9,0.22538502514362335,0.42260992527008057,1.6834588050842285,2.3541126251220703,2.5574755668640137,3.5292983055114746,23.706301904179746,36.22945377116061
upstream,60,3.0,union,10,10,10,10,10,0.22538502514362335,0.42260992527008057,1.6834588050842285,2.3541126251220703,2.5574755668640137,3.5292983055114746,23.706301904179746,36.22945377116061
upstream,61,3.0500000000000003,pi_0,10,10,10,10,10,0.2810940742492676,0.467817485332489,1.2789289951324463,2.442814588546753,1.5307626724243164,3.4645793437957764,21.532366837488667,31.355528677752556
upstream,61,3.0500000000000003,pi_1,10,10,10,10,10,0.2810940742492676,0.467817485332489,1.2789289951324463,2.442814588546753,1.5307626724243164,3.4645793437957764,21.532366837488667,31.355528677752556
upstream,61,3.0500000000000003,pi_2,10,10,10,10,10,0.2810940742492676,0.467817485332489,1.2789289951324463,2.442814588546753,1.5307626724243164,3.4645793437957764,21.532366837488667,31.355528677752556
upstream,61,3.0500000000000003,pi_3,10,10,10,10,10,0.2810940742492676,0.467817485332489,1.2789289951324463,2.442814588546753,1.5307626724243164,3.4645793437957764,21.532366837488667,31.355528677752556
upstream,61,3.0500000000000003,union,10,10,10,10,10,0.2810940742492676,0.467817485332489,1.2789289951324463,2.442814588546753,1.5307626724243164,3.4645793437957764,21.532366837488667,31.355528677752556
upstream,62,3.1,pi_0,10,10,10,10,10,0.3391755521297455,0.5277043581008911,1.0359997749328613,2.4740638732910156,0.5269274711608887,2.979434013366699,16.708514649680847,34.554948680566106
upstream,62,3.1,pi_1,10,10,10,10,10,0.3391755521297455,0.5277043581008911,1.0359997749328613,2.4740638732910156,0.5269274711608887,2.979434013366699,16.708514649680847,34.554948680566106
upstream,62,3.1,pi_2,10,10,10,10,10,0.3391755521297455,0.5277043581008911,1.0359997749328613,2.4740638732910156,0.5269274711608887,2.979434013366699,16.708514649680847,34.554948680566106
upstream,62,3.1,pi_3,10,10,10,10,10,0.3391755521297455,0.5277043581008911,1.0359997749328613,2.4740638732910156,0.5269274711608887,2.979434013366699,16.708514649680847,34.554948680566106
upstream,62,3.1,union,10,10,10,10,10,0.3391755521297455,0.5277043581008911,1.0359997749328613,2.4740638732910156,0.5269274711608887,2.979434013366699,16.708514649680847,34.554948680566106
upstream,63,3.1500000000000004,pi_0,10,10,10,10,10,0.389147013425827,0.5509735345840454,1.1614104509353638,2.1980020999908447,0.10735489428043365,2.04567551612854,12.458131376105145,29.504231074778687
upstream,63,3.1500000000000004,pi_1,10,10,10,10,10,0.389147013425827,0.5509735345840454,1.1614104509353638,2.1980020999908447,0.10735489428043365,2.04567551612854,12.458131376105145,29.504231074778687
upstream,63,3.1500000000000004,pi_2,10,10,10,10,10,0.389147013425827,0.5509735345840454,1.1614104509353638,2.1980020999908447,0.10735489428043365,2.04567551612854,12.458131376105145,29.504231074778687
upstream,63,3.1500000000000004,pi_3,10,10,10,10,10,0.389147013425827,0.5509735345840454,1.1614104509353638,2.1980020999908447,0.10735489428043365,2.04567551612854,12.458131376105145,29.504231074778687
upstream,63,3.1500000000000004,union,10,10,10,10,10,0.389147013425827,0.5509735345840454,1.1614104509353638,2.1980020999908447,0.10735489428043365,2.04567551612854,12.458131376105145,29.504231074778687
upstream,64,3.2,pi_0,10,10,10,10,10,0.4279147684574127,0.5730612277984619,1.3344323635101318,2.1985745429992676,0.39531591534614563,1.8414620161056519,11.505789652172444,22.83986100578715
upstream,64,3.2,pi_1,10,10,10,10,10,0.4279147684574127,0.5730612277984619,1.3344323635101318,2.1985745429992676,0.39531591534614563,1.8414620161056519,11.505789652172444,22.83986100578715
upstream,64,3.2,pi_2,10,10,10,10,10,0.4279147684574127,0.5730612277984619,1.3344323635101318,2.1985745429992676,0.39531591534614563,1.8414620161056519,11.505789652172444,22.83986100578715
upstream,64,3.2,pi_3,10,10,10,10,10,0.4279147684574127,0.5730612277984619,1.3344323635101318,2.1985745429992676,0.39531591534614563,1.8414620161056519,11.505789652172444,22.83986100578715
upstream,64,3.2,union,10,10,10,10,10,0.4279147684574127,0.5730612277984619,1.3344323635101318,2.1985745429992676,0.39531591534614563,1.8414620161056519,11.505789652172444,22.83986100578715
upstream,65,3.25,pi_0,10,10,10,10,10,0.4808727502822876,0.5850791931152344,1.3798891305923462,2.2455461025238037,0.217703178524971,1.6011571884155273,6.9408356370138575,18.60780641349385
upstream,65,3.25,pi_1,10,10,10,10,10,0.4808727502822876,0.5850791931152344,1.3798891305923462,2.2455461025238037,0.217703178524971,1.6011571884155273,6.9408356370138575,18.60780641349385
upstream,65,3.25,pi_2,10,10,10,10,10,0.4808727502822876,0.5850791931152344,1.3798891305923462,2.2455461025238037,0.217703178524971,1.6011571884155273,6.9408356370138575,18.60780641349385
upstream,65,3.25,pi_3,10,10,10,10,10,0.4808727502822876,0.5850791931152344,1.3798891305923462,2.2455461025238037,0.217703178524971,1.6011571884155273,6.9408356370138575,18.60780641349385
upstream,65,3.25,union,10,10,10,10,10,0.4808727502822876,0.5850791931152344,1.3798891305923462,2.2455461025238037,0.217703178524971,1.6011571884155273,6.9408356370138575,18.60780641349385
upstream,66,3.3000000000000003,pi_0,10,10,10,10,10,0.49629566073417664,0.6140626668930054,1.5907270908355713,2.2387025356292725,0.13111282885074615,1.4963783025741577,3.1677320418035415,9.944973580270629
upstream,66,3.3000000000000003,pi_1,10,10,10,10,10,0.49629566073417664,0.6140626668930054,1.5907270908355713,2.2387025356292725,0.13111282885074615,1.4963783025741577,3.1677320418035415,9.944973580270629
upstream,66,3.3000000000000003,pi_2,10,10,10,10,10,0.49629566073417664,0.6140626668930054,1.5907270908355713,2.2387025356292725,0.13111282885074615,1.4963783025741577,3.1677320418035415,9.944973580270629
upstream,66,3.3000000000000003,pi_3,10,10,10,10,10,0.49629566073417664,0.6140626668930054,1.5907270908355713,2.2387025356292725,0.13111282885074615,1.4963783025741577,3.1677320418035415,9.944973580270629
upstream,66,3.3000000000000003,union,10,10,10,10,10,0.49629566073417664,0.6140626668930054,1.5907270908355713,2.2387025356292725,0.13111282885074615,1.4963783025741577,3.1677320418035415,9.944973580270629
upstream,67,3.35,pi_0,10,10,10,10,10,0.5082588195800781,0.6410951018333435,1.5536596775054932,2.4251627922058105,0.29292958974838257,1.8151689767837524,-1.3325326392498722,7.1074425617248105
upstream,67,3.35,pi_1,10,10,10,10,10,0.5082588195800781,0.6410951018333435,1.5536596775054932,2.4251627922058105,0.29292958974838257,1.8151689767837524,-1.3325326392498722,7.1074425617248105
upstream,67,3.35,pi_2,10,10,10,10,10,0.5082588195800781,0.6410951018333435,1.5536596775054932,2.4251627922058105,0.29292958974838257,1.8151689767837524,-1.3325326392498722,7.1074425617248105
upstream,67,3.35,pi_3,10,10,10,10,10,0.5082588195800781,0.6410951018333435,1.5536596775054932,2.4251627922058105,0.29292958974838257,1.8151689767837524,-1.3325326392498722,7.1074425617248105
upstream,67,3.35,union,10,10,10,10,10,0.5082588195800781,0.6410951018333435,1.5536596775054932,2.4251627922058105,0.29292958974838257,1.8151689767837524,-1.3325326392498722,7.1074425617248105
upstream,68,3.4000000000000004,pi_0,10,10,10,10,10,0.5306645035743713,0.677795946598053,1.6279270648956299,2.3659634590148926,0.2606266438961029,1.8238639831542969,-7.44326406828126,7.7142043591066525
upstream,68,3.4000000000000004,pi_1,10,10,10,10,10,0.5306645035743713,0.677795946598053,1.6279270648956299,2.3659634590148926,0.2606266438961029,1.8238639831542969,-7.44326406828126,7.7142043591066525
upstream,68,3.4000000000000004,pi_2,10,10,10,10,10,0.5306645035743713,0.677795946598053,1.6279270648956299,2.3659634590148926,0.2606266438961029,1.8238639831542969,-7.44326406828126,7.7142043591066525
upstream,68,3.4000000000000004,pi_3,10,10,10,10,10,0.5306645035743713,0.677795946598053,1.6279270648956299,2.3659634590148926,0.2606266438961029,1.8238639831542969,-7.44326406828126,7.7142043591066525
upstream,68,3.4000000000000004,union,10,10,10,10,10,0.5306645035743713,0.677795946598053,1.6279270648956299,2.3659634590148926,0.2606266438961029,1.8238639831542969,-7.44326406828126,7.7142043591066525
upstream,69,3.45,pi_0,10,10,10,10,10,0.5512055158615112,0.7098727822303772,1.7719258069992065,2.4024434089660645,0.35150641202926636,1.6127290725708008,-14.145849399409084,10.775284359083752
upstream,69,3.45,pi_1,10,10,10,10,10,0.5512055158615112,0.7098727822303772,1.7719258069992065,2.4024434089660645,0.35150641202926636,1.6127290725708008,-14.145849399409084,10.775284359083752
upstream,69,3.45,pi_2,10,10,10,10,10,0.5512055158615112,0.7098727822303772,1.7719258069992065,2.4024434089660645,0.35150641202926636,1.6127290725708008,-14.145849399409084,10.775284359083752
upstream,69,3.45,pi_3,10,10,10,10,10,0.5512055158615112,0.7098727822303772,1.7719258069992065,2.4024434089660645,0.35150641202926636,1.6127290725708008,-14.145849399409084,10.775284359083752
upstream,69,3.45,union,10,10,10,10,10,0.5512055158615112,0.7098727822303772,1.7719258069992065,2.4024434089660645,0.35150641202926636,1.6127290725708008,-14.145849399409084,10.775284359083752
upstream,70,3.5,pi_0,10,10,10,10,10,0.565202534198761,0.732485294342041,1.839855670928955,2.307652711868286,0.5665252804756165,1.3503811359405518,-20.339560163442115,13.502128346548437
upstream,70,3.5,pi_1,10,10,10,10,10,0.565202534198761,0.732485294342041,1.839855670928955,2.307652711868286,0.5665252804756165,1.3503811359405518,-20.339560163442115,13.502128346548437
upstream,70,3.5,pi_2,10,10,10,10,10,0.565202534198761,0.732485294342041,1.839855670928955,2.307652711868286,0.5665252804756165,1.3503811359405518,-20.339560163442115,13.502128346548437
upstream,70,3.5,pi_3,10,10,10,10,10,0.565202534198761,0.732485294342041,1.839855670928955,2.307652711868286,0.5665252804756165,1.3503811359405518,-20.339560163442115,13.502128346548437
upstream,70,3.5,union,10,10,10,10,10,0.565202534198761,0.732485294342041,1.839855670928955,2.307652711868286,0.5665252804756165,1.3503811359405518,-20.339560163442115,13.502128346548437
upstream,71,3.5500000000000003,pi_0,8,8,8,8,8,0.6044329404830933,0.7449995279312134,1.795849084854126,2.4179701805114746,0.24316012859344482,1.3421026468276978,-2.4624761953005936,15.802509253676671
upstream,71,3.5500000000000003,pi_1,8,8,8,8,8,0.6044329404830933,0.7449995279312134,1.795849084854126,2.4179701805114746,0.24316012859344482,1.3421026468276978,-2.4624761953005936,15.802509253676671
upstream,71,3.5500000000000003,pi_2,8,8,8,8,8,0.6044329404830933,0.7449995279312134,1.795849084854126,2.4179701805114746,0.24316012859344482,1.3421026468276978,-2.4624761953005936,15.802509253676671
upstream,71,3.5500000000000003,pi_3,8,8,8,8,8,0.6044329404830933,0.7449995279312134,1.795849084854126,2.4179701805114746,0.24316012859344482,1.3421026468276978,-2.4624761953005936,15.802509253676671
upstream,71,3.5500000000000003,union,8,8,8,8,8,0.6044329404830933,0.7449995279312134,1.795849084854126,2.4179701805114746,0.24316012859344482,1.3421026468276978,-2.4624761953005936,15.802509253676671
upstream,72,3.6,pi_0,6,6,6,6,6,0.6108724474906921,0.7450798749923706,1.6390300989151,2.315110921859741,0.09986234456300735,0.9829880595207214,-5.786801403368648,8.848657485815348
upstream,72,3.6,pi_1,6,6,6,6,6,0.6108724474906921,0.7450798749923706,1.6390300989151,2.315110921859741,0.09986234456300735,0.9829880595207214,-5.786801403368648,8.848657485815348
upstream,72,3.6,pi_2,6,6,6,6,6,0.6108724474906921,0.7450798749923706,1.6390300989151,2.315110921859741,0.09986234456300735,0.9829880595207214,-5.786801403368648,8.848657485815348
upstream,72,3.6,pi_3,6,6,6,6,6,0.6108724474906921,0.7450798749923706,1.6390300989151,2.315110921859741,0.09986234456300735,0.9829880595207214,-5.786801403368648,8.848657485815348
upstream,72,3.6,union,6,6,6,6,6,0.6108724474906921,0.7450798749923706,1.6390300989151,2.315110921859741,0.09986234456300735,0.9829880595207214,-5.786801403368648,8.848657485815348
upstream,73,3.6500000000000004,pi_0,4,4,4,4,4,0.6503496170043945,0.7615724205970764,1.8590364456176758,2.178740978240967,0.38775914907455444,0.8548219799995422,-8.685825142793187,10.369598679786506
upstream,73,3.6500000000000004,pi_1,4,4,4,4,4,0.6503496170043945,0.7615724205970764,1.8590364456176758,2.178740978240967,0.38775914907455444,0.8548219799995422,-8.685825142793187,10.369598679786506
upstream,73,3.6500000000000004,pi_2,4,4,4,4,4,0.6503496170043945,0.7615724205970764,1.8590364456176758,2.178740978240967,0.38775914907455444,0.8548219799995422,-8.685825142793187,10.369598679786506
upstream,73,3.6500000000000004,pi_3,4,4,4,4,4,0.6503496170043945,0.7615724205970764,1.8590364456176758,2.178740978240967,0.38775914907455444,0.8548219799995422,-8.685825142793187,10.369598679786506
upstream,73,3.6500000000000004,union,4,4,4,4,4,0.6503496170043945,0.7615724205970764,1.8590364456176758,2.178740978240967,0.38775914907455444,0.8548219799995422,-8.685825142793187,10.369598679786506
upstream,74,3.7,pi_0,2,2,2,2,2,0.6544346809387207,0.7749878764152527,1.849908709526062,2.0221078395843506,-0.023988328874111176,0.4161129891872406,-11.26403982355638,1.0080787090895398
upstream,74,3.7,pi_1,2,2,2,2,2,0.6544346809387207,0.7749878764152527,1.849908709526062,2.0221078395843506,-0.023988328874111176,0.4161129891872406,-11.26403982355638,1.0080787090895398
upstream,74,3.7,pi_2,2,2,2,2,2,0.6544346809387207,0.7749878764152527,1.849908709526062,2.0221078395843506,-0.023988328874111176,0.4161129891872406,-11.26403982355638,1.0080787090895398
upstream,74,3.7,pi_3,2,2,2,2,2,0.6544346809387207,0.7749878764152527,1.849908709526062,2.0221078395843506,-0.023988328874111176,0.4161129891872406,-11.26403982355638,1.0080787090895398
upstream,74,3.7,union,2,2,2,2,2,0.6544346809387207,0.7749878764152527,1.849908709526062,2.0221078395843506,-0.023988328874111176,0.4161129891872406,-11.26403982355638,1.0080787090895398
downstream,71,3.5500000000000003,pi_0,2,2,2,2,2,0.6810527443885803,0.6986568570137024,1.7087993621826172,2.3883769512176514,-0.3099181652069092,-0.08970707654953003,-30.05286942957007,16.30857269680947
downstream,71,3.5500000000000003,pi_1,2,2,2,2,2,0.6810527443885803,0.6986568570137024,1.7087993621826172,2.3883769512176514,-0.3099181652069092,-0.08970707654953003,-30.05286942957007,16.30857269680947
downstream,71,3.5500000000000003,pi_2,2,2,2,2,2,0.6810527443885803,0.6986568570137024,1.7087993621826172,2.3883769512176514,-0.3099181652069092,-0.08970707654953003,-30.05286942957007,16.30857269680947
downstream,71,3.5500000000000003,pi_3,2,2,2,2,2,0.6810527443885803,0.6986568570137024,1.7087993621826172,2.3883769512176514,-0.3099181652069092,-0.08970707654953003,-30.05286942957007,16.30857269680947
downstream,71,3.5500000000000003,union,2,2,2,2,2,0.6810527443885803,0.6986568570137024,1.7087993621826172,2.3883769512176514,-0.3099181652069092,-0.08970707654953003,-30.05286942957007,16.30857269680947
downstream,72,3.6,pi_0,5,5,5,5,5,0.6076595783233643,0.7425295114517212,1.6419856548309326,2.74267315864563,-1.0449167490005493,-0.2144983559846878,-30.82375326033002,18.048394400727528
