arm,scenario,interactions,completed_candidates,positive_candidates,negative_candidates,unknown_candidates,witnessed_root_cells,novel_root_cells
pi_6,exploration_only,0,0,0,0,0,0,0
pi_6,exploration_only,365,0,0,0,0,0,0
pi_6,exploration_only,401,1,1,0,0,1,0
pi_6,exploration_only,435,2,2,0,0,2,0
pi_6,exploration_only,464,3,3,0,0,3,0
pi_6,exploration_only,494,4,4,0,0,4,0
pi_6,exploration_only,521,5,5,0,0,5,0
pi_6,exploration_only,547,6,6,0,0,6,0
pi_6,exploration_only,571,7,7,0,0,7,0
pi_6,exploration_only,596,8,8,0,0,8,0
pi_6,exploration_only,618,9,9,0,0,9,1
pi_6,exploration_only,639,10,10,0,0,10,2
pi_6,exploration_only,657,11,11,0,0,11,3
pi_6,exploration_only,675,12,12,0,0,12,4
pi_6,exploration_only,692,13,13,0,0,13,5
pi_6,exploration_only,706,14,14,0,0,14,6
pi_6,exploration_only,719,15,15,0,0,15,7
pi_6,exploration_only,731,16,16,0,0,16,8
pi_6,exploration_only,741,17,17,0,0,17,9
pi_6,exploration_only,750,18,18,0,0,18,10
pi_6,exploration_only,757,19,19,0,0,19,11
pi_6,exploration_only,763,20,20,0,0,20,12
pi_6,exploration_only,768,21,21,0,0,21,13
pi_6,exploration_only,771,22,22,0,0,22,14
pi_6,exploration_only,773,23,23,0,0,23,15
pi_6,exploration_only,775,24,24,0,0,24,16
pi_6,exploration_only,776,25,25,0,0,25,17
pi_6,exploration_only,811,26,26,0,0,26,17
pi_6,exploration_only,842,27,27,0,0,27,17
pi_6,exploration_only,873,28,28,0,0,28,17
pi_6,exploration_only,903,29,29,0,0,29,18
pi_6,exploration_only,930,30,30,0,0,30,18
pi_6,exploration_only,956,31,31,0,0,31,19
pi_6,exploration_only,981,32,32,0,0,32,20
pi_6,exploration_only,1005,33,33,0,0,33,21
pi_6,exploration_only,1026,34,34,0,0,34,22
pi_6,exploration_only,1046,35,35,0,0,35,23
pi_6,exploration_only,1065,36,36,0,0,36,24
pi_6,exploration_only,1083,37,37,0,0,37,25
pi_6,exploration_only,1100,38,38,0,0,38,26
pi_6,exploration_only,1115,39,39,0,0,39,27
pi_6,exploration_only,1128,40,40,0,0,40,28
pi_6,exploration_only,1141,41,41,0,0,41,29
pi_6,exploration_only,1153,42,42,0,0,42,30
pi_6,exploration_only,1164,43,43,0,0,43,31
pi_6,exploration_only,1172,44,44,0,0,44,32
pi_6,exploration_only,1179,45,45,0,0,45,33
pi_6,exploration_only,1184,46,46,0,0,46,34
pi_6,exploration_only,1188,47,47,0,0,47,35
pi_6,exploration_only,1191,48,48,0,0,48,36
pi_6,exploration_only,1192,49,49,0,0,49,37
pi_6,exploration_only,1227,50,50,0,0,50,37
pi_6,exploration_only,1259,51,51,0,0,51,37
pi_6,exploration_only,1288,52,52,0,0,52,37
pi_6,exploration_only,1315,53,53,0,0,53,37
pi_6,exploration_only,1341,54,54,0,0,54,37
