anchor_x_m,candidate_count,environment_interactions,final_x_m,peak_root_z_m,peak_sampling,perturbation_started,physical_failure,proposer,stop_reason,strength,timeout,trajectory_id,truncated,valid_landing,action,sign
2.85,24,45,3.9528167247772217,0.6252675652503967,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.85_family0/variant_0,False,True,steer,-1
2.85,2,10,2.8239493370056152,0.15000000596046448,control_step_states_including_reset,True,False,pi_4,task_terminated_before_landing,0.1,False,dense_v1_train_x2.85_family0/variant_5,False,False,hip,1
2.85,29,49,4.188072204589844,0.7228869795799255,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.85_family0/variant_10,False,True,rear_wheel_drive,-1
2.85,31,45,4.251521587371826,0.5936019420623779,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.85_family0/variant_15,False,True,knee,1
2.85,30,48,4.216101169586182,0.6677154302597046,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.85_family1/variant_1,False,True,steer,1
2.85,28,47,4.065976142883301,0.7085651755332947,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.85_family1/variant_6,False,True,knee,-1
2.85,24,42,3.8792836666107178,0.7125608921051025,control_step_states_including_reset,True,True,pi_4,task_terminated_before_landing,0.2,False,dense_v1_train_x2.85_family1/variant_11,False,False,rear_wheel_drive,1
2.85,27,48,4.086568832397461,0.6902602910995483,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.85_family2/variant_2,False,True,rear_wheel_drive,-1
2.85,26,44,4.0725016593933105,0.6035652160644531,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.85_family2/variant_7,False,True,knee,1
2.85,26,50,4.061244487762451,0.7487086653709412,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.85_family2/variant_12,False,True,hip,-1
2.85,29,48,4.167594909667969,0.696685254573822,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.85_family3/variant_3,False,True,rear_wheel_drive,1
2.85,31,49,4.2087554931640625,0.7104257941246033,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.85_family3/variant_8,False,True,steer,-1
2.85,2,9,2.796196937561035,0.15000000596046448,control_step_states_including_reset,True,False,pi_4,task_terminated_before_landing,0.2,False,dense_v1_train_x2.85_family3/variant_13,False,False,hip,1
2.85,31,51,4.288381099700928,0.7734865546226501,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.85_family4/variant_4,False,True,hip,-1
2.85,24,43,3.9312245845794678,0.7028461694717407,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.85_family4/variant_9,False,True,steer,1
2.85,25,45,3.9991579055786133,0.7424523830413818,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.85_family4/variant_14,False,True,knee,-1
2.95,27,48,4.157098293304443,0.6770485639572144,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.95_family0/variant_0,False,True,steer,-1
2.95,1,10,2.8428597450256348,0.15000000596046448,control_step_states_including_reset,True,False,pi_4,task_terminated_before_landing,0.1,False,dense_v1_train_x2.95_family0/variant_5,False,False,hip,1
2.95,25,47,4.042607307434082,0.6388046145439148,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.95_family0/variant_10,False,True,rear_wheel_drive,-1
2.95,21,42,3.881122350692749,0.5160818099975586,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.95_family0/variant_15,False,True,knee,1
2.95,25,47,4.116889476776123,0.6727001070976257,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.95_family1/variant_1,False,True,steer,1
2.95,28,50,4.173388481140137,0.7411827445030212,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.95_family1/variant_6,False,True,knee,-1
2.95,28,49,4.221413612365723,0.7103080749511719,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.95_family1/variant_11,False,True,rear_wheel_drive,1
2.95,26,48,4.117368698120117,0.6804379224777222,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.95_family2/variant_2,False,True,rear_wheel_drive,-1
2.95,25,45,4.028958797454834,0.5780103802680969,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.95_family2/variant_7,False,True,knee,1
2.95,29,51,4.245333671569824,0.6413138508796692,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.95_family2/variant_12,False,True,hip,-1
2.95,23,45,3.9680581092834473,0.7017263770103455,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.95_family3/variant_3,False,True,rear_wheel_drive,1
2.95,27,47,4.115532875061035,0.6562270522117615,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.95_family3/variant_8,False,True,steer,-1
2.95,1,10,2.8422255516052246,0.15000000596046448,control_step_states_including_reset,True,False,pi_4,task_terminated_before_landing,0.2,False,dense_v1_train_x2.95_family3/variant_13,False,False,hip,1
2.95,27,47,4.208845615386963,0.693644106388092,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.1,False,dense_v1_train_x2.95_family4/variant_4,False,True,hip,-1
2.95,22,44,3.961454391479492,0.6826791167259216,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.95_family4/variant_9,False,True,steer,1
2.95,29,53,4.310585021972656,0.7844433188438416,control_step_states_including_reset,True,False,pi_4,first_valid_landing,0.2,False,dense_v1_train_x2.95_family4/variant_14,False,True,knee,-1
