stage,episode,active_steps,success,physical_failure,completed,unique_cells
initial,0,50,True,False,True,50
initial,1,45,True,False,True,45
initial,2,45,True,False,True,45
initial,3,49,True,False,True,49
initial,4,51,True,False,True,51
initial,5,44,True,False,True,44
initial,6,50,True,False,True,50
initial,7,50,True,False,True,50
initial,8,45,True,False,True,45
initial,9,44,True,False,True,44
initial,10,53,True,False,True,53
initial,11,45,True,False,True,45
initial,12,45,True,False,True,45
initial,13,49,True,False,True,49
initial,14,50,True,False,True,50
initial,15,49,True,False,True,49
initial,16,44,True,False,True,44
initial,17,49,True,False,True,49
initial,18,44,True,False,True,44
initial,19,49,True,False,True,49
initial,20,46,True,False,True,46
initial,21,45,True,False,True,45
initial,22,50,True,False,True,50
initial,23,44,True,False,True,44
initial,24,45,True,False,True,45
initial,25,44,True,False,True,44
initial,26,45,True,False,True,45
initial,27,44,True,False,True,44
initial,28,44,True,False,True,44
initial,29,50,True,False,True,50
initial,30,50,True,False,True,50
initial,31,44,True,False,True,44
batch_0001,0,47,True,False,True,47
batch_0001,1,46,True,False,True,46
batch_0001,2,51,True,False,True,51
batch_0001,3,46,True,False,True,46
batch_0001,4,50,True,False,True,50
batch_0001,5,45,True,False,True,45
batch_0001,6,42,True,False,True,42
batch_0001,7,47,True,False,True,47
batch_0001,8,50,True,False,True,50
batch_0001,9,45,True,False,True,45
batch_0001,10,57,False,True,True,57
batch_0001,11,50,True,False,True,50
batch_0001,12,51,True,False,True,51
batch_0001,13,45,True,False,True,45
batch_0001,14,40,True,False,True,40
batch_0001,15,49,True,False,True,49
batch_0001,16,44,True,False,True,44
batch_0001,17,46,True,False,True,46
batch_0001,18,49,True,False,True,49
batch_0001,19,44,True,False,True,44
batch_0001,20,49,True,False,True,49
batch_0001,21,45,True,False,True,45
batch_0001,22,45,True,False,True,45
batch_0001,23,47,True,False,True,47
batch_0001,24,42,True,False,True,42
batch_0001,25,47,True,False,True,47
batch_0001,26,46,True,False,True,46
batch_0001,27,45,True,False,True,45
batch_0001,28,44,True,False,True,44
batch_0001,29,49,True,False,True,49
batch_0001,30,47,True,False,True,47
batch_0001,31,48,True,False,True,48
batch_0002,0,21,False,True,True,21
batch_0002,1,23,False,True,True,23
