batch,new_cells,cumulative_cells,successes,episodes,active_interactions,charged_interactions,mean_losses,optimizer_updates,wall_seconds
1,1403.0,2216,31,32,1498,25600,"[59.722171783447266, 0.02940780110657215, 119.37625885009766, -4.637962818145752]",24,12.231927193999582
2,0.0,2216,0,32,761,38400,"[19.218923568725586, -0.0029839372728019953, 38.43735885620117, -3.2290782928466797]",12,14.472167125997657
3,0.0,2216,0,32,719,51200,"[2.6535656452178955, 0.056968506425619125, 5.186943531036377, -3.12520432472229]",12,16.707480359997135
4,0.0,2216,0,32,722,64000,"[0.559016764163971, 0.05489784851670265, 1.0028555393218994, -2.6912119388580322]",12,18.942346757998166
5,0.0,2216,0,32,764,76800,"[0.13835188746452332, 0.027775218710303307, 0.21546773612499237, -2.842816114425659]",12,21.183940153998265
6,0.0,2216,0,32,670,89600,"[0.03374004736542702, -0.003420083550736308, 0.06894106417894363, -2.6895923614501953]",12,23.397434155995143
7,0.0,2216,0,32,740,102400,"[0.011713509447872639, -0.002048711059615016, 0.022137947380542755, -2.693248748779297]",12,25.61974910099525
8,0.0,2216,0,32,646,115200,"[0.013571267016232014, 0.003094953252002597, 0.015500272624194622, -2.7261812686920166]",12,27.829378425994946
9,0.0,2216,0,32,687,128000,"[0.0007970370352268219, -0.013944833539426327, 0.02469567209482193, -2.3940322399139404]",12,30.053507008997258
10,0.0,2216,0,32,696,140800,"[0.000680076249409467, -0.010133334435522556, 0.01651657186448574, -2.555124521255493]",12,32.28849012799765
11,0.0,2216,0,32,736,153600,"[0.009121392853558064, -4.261421781848185e-05, 0.013683244585990906, -2.3223843574523926]",12,34.52771306399518
12,0.0,2216,0,32,773,166400,"[0.03819512575864792, 0.026215272024273872, 0.01930607669055462, -2.326822519302368]",16,36.760484194994206
13,0.0,2216,0,32,853,179200,"[0.02331024780869484, 0.011868031695485115, 0.019300976768136024, -1.7917232513427734]",16,39.0191542629982
14,33.0,2249,1,32,868,192000,"[2.4421894550323486, -0.018733397126197815, 4.917814254760742, -2.0153486728668213]",16,41.263608027999
15,0.0,2249,0,32,779,204800,"[0.10219509154558182, -0.0545802041888237, 0.3096102178096771, -1.9701987504959106]",16,43.49985339799605
16,37.0,2286,1,32,786,217600,"[4.355210304260254, -0.08456073701381683, 8.875774383544922, -1.883420705795288]",16,45.7545158859939
17,0.0,2286,0,32,760,230400,"[0.10153859108686447, -0.03287491574883461, 0.2653788924217224, -1.7240673303604126]",12,48.00774754300073
18,0.0,2286,0,32,809,243200,"[0.036716509610414505, -0.0048324353992938995, 0.08011168986558914, -1.493105411529541]",16,50.279574007996416
19,0.0,2286,0,32,811,256000,"[-0.002071418333798647, -0.020483121275901794, 0.0341641791164875, -1.329613447189331]",16,52.54705523499433
20,103.0,2389,3,32,839,268800,"[8.015337944030762, -0.00907522439956665, 16.046241760253906, -1.292819857597351]",16,54.797366734994284
