stage,tick,episode,x,z,base_action_0,requested_delta_0,effective_delta_0,action_0,base_action_1,requested_delta_1,effective_delta_1,action_1,base_action_2,requested_delta_2,effective_delta_2,action_2,base_action_3,requested_delta_3,effective_delta_3,action_3
initial,0,0,2.5398218631744385,0.14851507544517517,-0.8977648019790649,0.0,0.0,-0.8977648019790649,-0.4166301488876343,0.0,0.0,-0.4166301488876343,-0.5685432553291321,0.0,0.0,-0.5685432553291321,0.9489665031433105,0.0,0.0,0.9489665031433105
initial,0,1,2.5398218631744385,0.14851507544517517,-0.8977648019790649,0.0,0.0,-0.8977648019790649,-0.4166301488876343,0.0,0.0,-0.4166301488876343,-0.5685432553291321,0.0,0.0,-0.5685432553291321,0.9489665031433105,0.0,0.0,0.9489665031433105
initial,1,0,2.5798513889312744,0.14257767796516418,-0.6551288962364197,0.0,0.0,-0.6551288962364197,-0.9146854877471924,0.0,0.0,-0.9146854877471924,-0.1489304155111313,0.0,0.0,-0.1489304155111313,0.9595323204994202,0.0,0.0,0.9595323204994202
initial,1,1,2.5798513889312744,0.14257767796516418,-0.6551288962364197,0.0,0.0,-0.6551288962364197,-0.9146854877471924,0.0,0.0,-0.9146854877471924,-0.1489304155111313,0.0,0.0,-0.1489304155111313,0.9595323204994202,0.0,0.0,0.9595323204994202
initial,2,0,2.6198577880859375,0.13301095366477966,-0.6969488263130188,0.0,0.0,-0.6969488263130188,-0.9649321436882019,0.0,0.0,-0.9649321436882019,-0.2951211929321289,0.0,0.0,-0.2951211929321289,0.880426824092865,0.0,0.0,0.880426824092865
initial,2,1,2.6198577880859375,0.13301095366477966,-0.6969488263130188,0.0,0.0,-0.6969488263130188,-0.9649321436882019,0.0,0.0,-0.9649321436882019,-0.2951211929321289,0.0,0.0,-0.2951211929321289,0.880426824092865,0.0,0.0,0.880426824092865
initial,3,0,2.659778356552124,0.11888933926820755,-0.31874892115592957,0.0,0.0,-0.31874892115592957,-0.8912726640701294,0.0,0.0,-0.8912726640701294,-0.6209113597869873,0.0,0.0,-0.6209113597869873,-0.030019361525774002,0.0,0.0,-0.030019361525774002
initial,3,1,2.659778356552124,0.11888933926820755,-0.31874892115592957,0.0,0.0,-0.31874892115592957,-0.8912726640701294,0.0,0.0,-0.8912726640701294,-0.6209113597869873,0.0,0.0,-0.6209113597869873,-0.030019361525774002,0.0,0.0,-0.030019361525774002
initial,4,0,2.699638843536377,0.11847914010286331,-0.07461881637573242,0.0,0.0,-0.07461881637573242,-0.9257088899612427,0.0,0.0,-0.9257088899612427,-0.3180754780769348,0.0,0.0,-0.3180754780769348,0.16442053020000458,0.0,0.0,0.16442053020000458
initial,4,1,2.699638843536377,0.1184791550040245,-0.07461881637573242,0.0,0.0,-0.07461881637573242,-0.9257088899612427,0.0,0.0,-0.9257088899612427,-0.3180754780769348,0.0,0.0,-0.3180754780769348,0.16442053020000458,0.0,0.0,0.16442053020000458
initial,5,0,2.736867666244507,0.11887361854314804,0.08524651825428009,0.0,0.0,0.08524651825428009,-0.8181189298629761,0.0,0.0,-0.8181189298629761,-0.3142823278903961,0.0,0.0,-0.3142823278903961,-0.1511843353509903,0.0,0.0,-0.1511843353509903
initial,5,1,2.736867666244507,0.11887362599372864,0.08524651825428009,0.0,0.0,0.08524651825428009,-0.8181189298629761,0.0,0.0,-0.8181189298629761,-0.3142823278903961,0.0,0.0,-0.3142823278903961,-0.1511843353509903,0.0,0.0,-0.1511843353509903
initial,6,0,2.7728116512298584,0.11898782104253769,0.308079332113266,0.0,0.0,0.308079332113266,-0.7766537666320801,0.0,0.0,-0.7766537666320801,0.02636777237057686,0.0,0.0,0.02636777237057686,-0.32905930280685425,0.0,0.0,-0.32905930280685425
initial,6,1,2.7728116512298584,0.11898786574602127,0.308079332113266,0.0,0.0,0.308079332113266,-0.7766537666320801,0.0,0.0,-0.7766537666320801,0.02636777237057686,0.0,0.0,0.02636777237057686,-0.32905930280685425,0.0,0.0,-0.32905930280685425
initial,7,0,2.801354169845581,0.11862101405858994,0.025462858378887177,0.0,0.0,0.025462858378887177,-0.7236257791519165,0.0,0.0,-0.7236257791519165,0.29992035031318665,0.0,0.0,0.29992035031318665,-0.4435863494873047,0.0,0.0,-0.4435863494873047
initial,7,1,2.8013546466827393,0.11862122267484665,0.025482160970568657,0.0,0.0,0.025482160970568657,-0.7235724925994873,0.0,0.0,-0.7235724925994873,0.2999011278152466,0.0,0.0,0.2999011278152466,-0.44362810254096985,0.0,0.0,-0.44362810254096985
initial,8,0,2.81722354888916,0.11861353367567062,0.10077838599681854,0.0,0.0,0.10077838599681854,-0.5530875325202942,0.0,0.0,-0.5530875325202942,0.4779741168022156,0.0,0.0,0.4779741168022156,-0.6908423900604248,0.0,0.0,-0.6908423900604248
initial,8,1,2.8172249794006348,0.11861399561166763,0.1009100079536438,0.0,0.0,0.1009100079536438,-0.5530967712402344,0.0,0.0,-0.5530967712402344,0.4779386520385742,0.0,0.0,0.4779386520385742,-0.6907766461372375,0.0,0.0,-0.6907766461372375
initial,9,0,2.830270290374756,0.1190592423081398,-0.14890119433403015,0.0,0.0,-0.14890119433403015,-0.3387928009033203,0.0,0.0,-0.3387928009033203,0.5234648585319519,0.0,0.0,0.5234648585319519,-0.8216506242752075,0.0,0.0,-0.8216506242752075
initial,9,1,2.8303070068359375,0.11912074685096741,-0.14885970950126648,0.0,0.0,-0.14885970950126648,-0.33868470788002014,0.0,0.0,-0.33868470788002014,0.5236693024635315,0.0,0.0,0.5236693024635315,-0.8216546773910522,0.0,0.0,-0.8216546773910522
initial,10,0,2.845625400543213,0.12755326926708221,-0.16197682917118073,0.0,0.0,-0.16197682917118073,-0.345002144575119,0.0,0.0,-0.345002144575119,0.37443605065345764,0.0,0.0,0.37443605065345764,-0.8737007975578308,0.0,0.0,-0.8737007975578308
initial,10,1,2.8456737995147705,0.1274435669183731,-0.16445082426071167,0.0,0.0,-0.16445082426071167,-0.3464944064617157,0.0,0.0,-0.3464944064617157,0.3767928183078766,0.0,0.0,0.3767928183078766,-0.8729908466339111,0.0,0.0,-0.8729908466339111
initial,11,0,2.863682746887207,0.14882716536521912,-0.24321793019771576,0.0,0.0,-0.24321793019771576,-0.3624713718891144,0.0,0.0,-0.3624713718891144,0.2320202738046646,0.0,0.0,0.2320202738046646,-0.831898033618927,0.0,0.0,-0.831898033618927
initial,11,1,2.8637468814849854,0.14862075448036194,-0.24854879081249237,0.0,0.0,-0.24854879081249237,-0.37376394867897034,0.0,0.0,-0.37376394867897034,0.23480074107646942,0.0,0.0,0.23480074107646942,-0.8337069749832153,0.0,0.0,-0.8337069749832153
initial,12,0,2.8849098682403564,0.19245418906211853,-0.16524772346019745,0.0,0.0,-0.16524772346019745,-0.3951902687549591,0.0,0.0,-0.3951902687549591,0.03362191468477249,0.0,0.0,0.03362191468477249,-0.7070763111114502,0.0,0.0,-0.7070763111114502
initial,12,1,2.8849804401397705,0.19221116602420807,-0.17825181782245636,0.0,0.0,-0.17825181782245636,-0.3819963335990906,0.0,0.0,-0.3819963335990906,0.03403893858194351,0.0,0.0,0.03403893858194351,-0.7091643810272217,0.0,0.0,-0.7091643810272217
initial,13,0,2.9177331924438477,0.2531166672706604,0.13748136162757874,0.0,0.0,0.13748136162757874,-0.4454911947250366,0.0,0.0,-0.4454911947250366,-0.2002648264169693,0.0,0.0,-0.2002648264169693,-0.39711421728134155,0.0,0.0,-0.39711421728134155
initial,13,1,2.917842149734497,0.25297147035598755,0.1380486935377121,0.0,0.0,0.1380486935377121,-0.44521963596343994,0.0,0.0,-0.44521963596343994,-0.20387974381446838,0.0,0.0,-0.20387974381446838,-0.3947717845439911,0.0,0.0,-0.3947717845439911
initial,14,0,2.9614217281341553,0.3126974105834961,0.550801694393158,0.0,0.0,0.550801694393158,-0.8893862366676331,0.0,0.0,-0.8893862366676331,-0.1535022258758545,0.0,0.0,-0.1535022258758545,0.01836940459907055,0.0,0.0,0.01836940459907055
initial,14,1,2.9616618156433105,0.31262338161468506,0.5493367314338684,0.0,0.0,0.5493367314338684,-0.8897577524185181,0.0,0.0,-0.8897577524185181,-0.16111144423484802,0.0,0.0,-0.16111144423484802,0.027002602815628052,0.0,0.0,0.027002602815628052
initial,15,0,3.0077595710754395,0.37352845072746277,0.8131046295166016,0.0,0.0,0.8131046295166016,-0.9773955345153809,0.0,0.0,-0.9773955345153809,-0.3144751191139221,0.0,0.0,-0.3144751191139221,-0.0904952883720398,0.0,0.0,-0.0904952883720398
initial,15,1,3.007859945297241,0.3731533885002136,0.8104814887046814,0.0,0.0,0.8104814887046814,-0.9787873029708862,0.0,0.0,-0.9787873029708862,-0.3209800124168396,0.0,0.0,-0.3209800124168396,-0.09828325361013412,0.0,0.0,-0.09828325361013412
initial,16,0,3.0491418838500977,0.42480191588401794,0.8694320321083069,0.0,0.0,0.8694320321083069,-0.9677205085754395,0.0,0.0,-0.9677205085754395,-0.4060228168964386,0.0,0.0,-0.4060228168964386,-0.3430882692337036,0.0,0.0,-0.3430882692337036
initial,16,1,3.049067258834839,0.4237391948699951,0.8709996938705444,0.0,0.0,0.8709996938705444,-0.9726057052612305,0.0,0.0,-0.9726057052612305,-0.3991309404373169,0.0,0.0,-0.3991309404373169,-0.342986136674881,0.0,0.0,-0.342986136674881
initial,17,0,3.084388256072998,0.4573872685432434,0.874142050743103,0.0,0.0,0.874142050743103,-0.953162670135498,0.0,0.0,-0.953162670135498,-0.14847970008850098,0.0,0.0,-0.14847970008850098,-0.37638160586357117,0.0,0.0,-0.37638160586357117
initial,17,1,3.084892749786377,0.4576345980167389,0.8326876163482666,0.0,0.0,0.8326876163482666,-0.9613434672355652,0.0,0.0,-0.9613434672355652,-0.15621311962604523,0.0,0.0,-0.15621311962604523,-0.34390756487846375,0.0,0.0,-0.34390756487846375
initial,18,0,3.1184301376342773,0.474278062582016,0.8431455492973328,0.0,0.0,0.8431455492973328,-0.9360483884811401,0.0,0.0,-0.9360483884811401,0.26118168234825134,0.0,0.0,0.26118168234825134,-0.4238394498825073,0.0,0.0,-0.4238394498825073
